ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779311363574123,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.39,20,7.80,ACC-PC-00000506,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311382460125,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.39,20,7.80,ACC-PC-00000506,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311382460125,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.35,20,7.00,ACC-PC-00000507,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311402529497,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.35,20,7.00,ACC-PC-00000507,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311402529497,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.34,20,6.80,ACC-PC-00000508,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311422621011,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.34,20,6.80,ACC-PC-00000508,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311422621011,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.36,20,7.20,ACC-PC-00000509,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311442633214,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.36,20,7.20,ACC-PC-00000509,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311442633214,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.36,20,7.20,ACC-PC-00000510,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311462732346,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.36,20,7.20,ACC-PC-00000510,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311462732346,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.36,20,7.20,ACC-PC-00000511,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311482828750,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.36,20,7.20,ACC-PC-00000511,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311482828750,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.35,20,7.00,ACC-PC-00000512,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311502074517,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.35,20,7.00,ACC-PC-00000512,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311502074517,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.31,20,6.20,ACC-PC-00000513,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311503098289,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.31,20,6.20,ACC-PC-00000513,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311503098289,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.34,20,6.80,ACC-PC-00000514,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311523184682,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.34,20,6.80,ACC-PC-00000514,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_age_20s
1779311523184682,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.33,20,6.60,ACC-PC-00000515,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311526256916,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.33,20,6.60,ACC-PC-00000515,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311526256916,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.29,20,5.80,ACC-PC-00000516,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311526977767,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.29,20,5.80,ACC-PC-00000516,0,20,0.00,35.0938000,24.90,,0,0,,,cancel_displaced_3c
1779311526977767,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.25,20,5.00,ACC-PC-00000517,0,20,0.00,35.0938000,24.90,,0,0,,,post_initial_bid
1779311537575743,ACC-PC,btc-updown-15m-1779310800,BTC,15m,TAKE,up,0.68,8.44,5.7392,TAKE-ACC-PC-1779311537575743,1,28.44,0.00,40.8330000,24.90,,0,0,,,sim_take_vwap_filled=8.44
1779311537571432,ACC-PC,btc-updown-15m-1779310800,BTC,15m,TAKE,up,0.68,8.44,5.7392,,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,pat_pair_cost=0.9687
1779311537584207,ACC-PC,btc-updown-15m-1779310800,BTC,15m,TAKE,dn,0.3340758293838862559241706161,8.44,2.819600000000000000000000000,TAKE-ACC-PC-1779311537584207,1,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,sim_take_vwap_filled=8.44
1779311537584207,ACC-PC,btc-updown-15m-1779310800,BTC,15m,MERGE,,,8.44,,,1,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,sim_merge_pairs=8.44_gas=0.05
1779311537571432,ACC-PC,btc-updown-15m-1779310800,BTC,15m,TAKE,dn,0.26,8.44,2.1944,,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,pat_pair_cost=0.9687
1779311537585819,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.25,20,5.00,ACC-PC-00000517,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311537585819,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.32,20,6.40,ACC-PC-00000518,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311538721541,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.32,20,6.40,ACC-PC-00000518,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311538721541,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.36,20,7.20,ACC-PC-00000519,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311539645950,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.36,20,7.20,ACC-PC-00000519,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311539645950,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.31,20,6.20,ACC-PC-00000520,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311541294143,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.31,20,6.20,ACC-PC-00000520,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311541294143,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.27,20,5.40,ACC-PC-00000521,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311544886102,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.27,20,5.40,ACC-PC-00000521,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311544886102,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.23,20,4.60,ACC-PC-00000522,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311546214993,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.23,20,4.60,ACC-PC-00000522,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311546214993,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.20,20,4.00,ACC-PC-00000523,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311546623511,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.20,20,4.00,ACC-PC-00000523,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311546623511,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.23,20,4.60,ACC-PC-00000524,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311546733034,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.23,20,4.60,ACC-PC-00000524,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311546733034,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.18,20,3.60,ACC-PC-00000525,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
1779311547048587,ACC-PC,btc-updown-15m-1779310800,BTC,15m,CANCEL,dn,0.18,20,3.60,ACC-PC-00000525,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,cancel_displaced_3c
1779311547048587,ACC-PC,btc-updown-15m-1779310800,BTC,15m,POST_BID,dn,0.15,20,3.00,ACC-PC-00000526,0,20.00,0.00,43.65260000000000000000000000,33.29,,0,0,,,post_initial_bid
