family,sleeve,filter,n,wr,avg,sum
momo,sol_15m_v2,no_F7 (baseline),6,100.0,24.215,145.29
momo,sol_15m_v2,F7_only,3,100.0,11.969,35.91
momo,sol_15m_v2,MARKOV:w20_1m_voladaptive,9,100.0,20.133,181.2
momo,sol_15m_v2,F7+MARKOV:w20_1m_voladaptive,3,100.0,11.969,35.91
momo,sol_15m_v2,noF7+MARKOV:w20_1m_voladaptive,6,100.0,24.215,145.29
momo,sol_15m_v2,MARKOV:w20_5m_voladaptive,9,100.0,20.133,181.2
momo,sol_15m_v2,F7+MARKOV:w20_5m_voladaptive,3,100.0,11.969,35.91
momo,sol_15m_v2,noF7+MARKOV:w20_5m_voladaptive,6,100.0,24.215,145.29
momo,sol_15m_v2,MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v2,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v2,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v2,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v2,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_15m_v2,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_5m_v1,ALL,60,70.0,9.273,556.41
momo,sol_5m_v1,no_F7 (baseline),18,66.67,7.457,134.23
momo,sol_5m_v1,F7_only,42,71.43,10.052,422.18
momo,sol_5m_v1,MARKOV:w20_1m_voladaptive,60,70.0,9.273,556.41
momo,sol_5m_v1,F7+MARKOV:w20_1m_voladaptive,42,71.43,10.052,422.18
momo,sol_5m_v1,noF7+MARKOV:w20_1m_voladaptive,18,66.67,7.457,134.23
momo,sol_5m_v1,MARKOV:w20_5m_voladaptive,12,100.0,18.299,219.59
momo,sol_5m_v1,F7+MARKOV:w20_5m_voladaptive,6,100.0,12.637,75.82
momo,sol_5m_v1,noF7+MARKOV:w20_5m_voladaptive,6,100.0,23.962,143.77
momo,sol_5m_v1,MARKOV:w20_1m_fixed,30,100.0,24.344,730.33
momo,sol_5m_v1,F7+MARKOV:w20_1m_fixed,30,100.0,24.344,730.33
momo,sol_5m_v1,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,sol_5m_v1,MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_5m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_5m_v1,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,sol_5m_v2,ALL,109,73.39,7.303,795.98
momo,sol_5m_v2,no_F7 (baseline),12,0.0,-21.557,-258.68
momo,sol_5m_v2,F7_only,97,82.47,10.873,1054.66
momo,sol_5m_v2,MARKOV:w20_1m_voladaptive,109,73.39,7.303,795.98
momo,sol_5m_v2,F7+MARKOV:w20_1m_voladaptive,97,82.47,10.873,1054.66
momo,sol_5m_v2,noF7+MARKOV:w20_1m_voladaptive,12,0.0,-21.557,-258.68
momo,sol_5m_v2,MARKOV:w20_5m_voladaptive,73,76.71,7.098,518.16
momo,sol_5m_v2,F7+MARKOV:w20_5m_voladaptive,64,87.5,10.957,701.24
