fire_us,sleeve_id,signal,condition_id,won,pnl_usd,family,version,policy,is_f7,symbol,tf,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
1779314522568099,poly_updown_btc_5m_momo_SELL_f7,DOWN,0x629d0104ded36aaf97a1c3d0a49296c09dbf1d1ea97a7d01ce302c4ab961b24f,True,26.54164968,momo,v1,SELL,True,BTC,5m,0,True,0,True,1,False,1,False
1779314522569810,poly_updown_btc_5m_momo_HOLD_f7,DOWN,0x629d0104ded36aaf97a1c3d0a49296c09dbf1d1ea97a7d01ce302c4ab961b24f,True,26.54164968,momo,v1,HOLD,True,BTC,5m,0,True,0,True,1,False,1,False
1779314522571616,poly_updown_eth_5m_momo_HEDGE_f7,DOWN,0xd463eb055ed4f5c51661a5eda2bb4721f2b8b49e56ea6378ce8b2582ab8bf134,True,26.18538734,momo,v1,HEDGE,True,ETH,5m,0,True,0,True,1,False,1,False
1779314522667568,poly_updown_btc_5m_momo_HEDGE_f7,DOWN,0x629d0104ded36aaf97a1c3d0a49296c09dbf1d1ea97a7d01ce302c4ab961b24f,True,26.54164968,momo,v1,HEDGE,True,BTC,5m,0,True,0,True,1,False,1,False
1779314522843572,poly_updown_eth_5m_momo_HOLD,DOWN,0xd463eb055ed4f5c51661a5eda2bb4721f2b8b49e56ea6378ce8b2582ab8bf134,True,27.83795644,momo,v1,HOLD,False,ETH,5m,0,True,0,True,1,False,1,False
1779314522863028,poly_updown_btc_5m_momo_SELL,DOWN,0x629d0104ded36aaf97a1c3d0a49296c09dbf1d1ea97a7d01ce302c4ab961b24f,True,26.54164968,momo,v1,SELL,False,BTC,5m,0,True,0,True,1,False,1,False
1779314522877848,poly_updown_eth_5m_momo_HEDGE,DOWN,0xd463eb055ed4f5c51661a5eda2bb4721f2b8b49e56ea6378ce8b2582ab8bf134,True,27.83795644,momo,v1,HEDGE,False,ETH,5m,0,True,0,True,1,False,1,False
1779314522881694,poly_updown_eth_5m_momo_SELL,DOWN,0xd463eb055ed4f5c51661a5eda2bb4721f2b8b49e56ea6378ce8b2582ab8bf134,True,27.83795644,momo,v1,SELL,False,ETH,5m,0,True,0,True,1,False,1,False
1779314522884828,poly_updown_btc_5m_momo_HOLD,DOWN,0x629d0104ded36aaf97a1c3d0a49296c09dbf1d1ea97a7d01ce302c4ab961b24f,True,26.54164968,momo,v1,HOLD,False,BTC,5m,0,True,0,True,1,False,1,False
1779314522885582,poly_updown_btc_5m_momo_HEDGE,DOWN,0x629d0104ded36aaf97a1c3d0a49296c09dbf1d1ea97a7d01ce302c4ab961b24f,True,26.54164968,momo,v1,HEDGE,False,BTC,5m,0,True,0,True,1,False,1,False
1779314522893712,poly_updown_sol_5m_momo_HEDGE,DOWN,0x2670feabb9023ac50cbfe638dce34757d85308c6d842b4eab8fe208a6e329864,True,23.91347,momo,v1,HEDGE,False,SOL,5m,0,True,1,False,1,False,1,False
1779314522896383,poly_updown_sol_5m_momo_SELL,DOWN,0x2670feabb9023ac50cbfe638dce34757d85308c6d842b4eab8fe208a6e329864,True,23.91347,momo,v1,SELL,False,SOL,5m,0,True,1,False,1,False,1,False
