sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,dd_full,loss_streak_full,sharpe_lockbox,bootstrap_p_lockbox,bootstrap_p_full,min_split_dpt,stable_3split,composite,proj_28d_const25
V6+g_BTC_vol_low,154,81,0.7037037037037037,3.00326665138843,243.2645987624628,27,0.5925925925925926,-2.669920187837482,-72.08784507161201,46,0.8478260869565217,8.858897220180562,407.50927212830584,0.7272727272727273,3.7577014663581596,578.6860258191566,100.0,4,247.7438421481964,6,30.55325996205066,0.0,0.041,-2.669920187837482,False,60.08396423385572,496.5338162845735
V6+g_BTC_vol_low_vwap_lt80,154,81,0.7037037037037037,3.00326665138843,243.2645987624628,27,0.5925925925925926,-2.669920187837482,-72.08784507161201,46,0.8478260869565217,8.858897220180562,407.50927212830584,0.7272727272727273,3.7577014663581596,578.6860258191566,100.0,4,247.7438421481964,6,30.55325996205066,0.0,0.041,-2.669920187837482,False,60.08396423385572,496.5338162845735
V6+g_BTC_vol_low_no_vwap,154,81,0.7037037037037037,3.00326665138843,243.2645987624628,27,0.5925925925925926,-2.669920187837482,-72.08784507161201,46,0.8478260869565217,8.858897220180562,407.50927212830584,0.7272727272727273,3.7577014663581596,578.6860258191566,100.0,4,247.7438421481964,6,30.55325996205066,0.0,0.041,-2.669920187837482,False,60.08396423385572,496.5338162845735
NOHOD_g_BTC_adx_strong,615,257,0.622568093385214,-1.3570054204145516,-348.7503930465398,150,0.6133333333333333,-0.6936219071491998,-104.04328607237997,208,0.7355769230769231,4.629654884596788,962.9682159961319,0.6585365853658537,0.8295520924832722,510.1745368772124,203.24420513904,4,783.3737119954366,7,14.170350863394773,0.0,0.234,-1.3570054204145516,False,66.76983229646414,437.74844814728783
NOHOD_g_ETH_vol_low,651,299,0.6588628762541806,0.4810491639042988,143.83370000738535,150,0.5933333333333334,-1.4861892537038706,-222.92838805558057,202,0.7277227722772277,4.610228576196943,931.2661723917824,0.6651305683563749,1.3090191771790898,852.1714843435874,134.21363883381647,4,516.5844519627105,6,22.523317577778577,0.0,0.105,-1.4861892537038706,False,65.52365923852348,731.1943616593271
NOHOD_g_rv_high,550,281,0.6441281138790036,-0.6569974490803453,-184.61628319157703,178,0.6348314606741573,-0.352970963642225,-62.82883152831606,91,0.7472527472527473,4.443358234953102,404.34559938073227,0.6581818181818182,0.2852736084742531,156.9004846608392,107.93138689596549,3,531.901972483452,7,23.743291454829798,0.0,0.36,-0.6569974490803453,False,42.38693606260571,134.62636550669353
NOHOD_g_ETH_slope_with,613,316,0.6424050632911392,-0.15113078731366106,-47.75732879111689,146,0.6027397260273972,-0.8674730407212495,-126.65106394530244,151,0.7350993377483444,4.319701262873342,652.2748906938747,0.6557911908646004,0.7795538302731735,477.86649795745535,112.72864251989517,4,616.4797774063229,9,20.780326747761794,0.0,0.238,-0.8674730407212495,False,53.08137779928948,410.0269668158711
NOHOD_g_BTC_tr_stack_with,579,276,0.5869565217391305,-2.0621308458669643,-569.1481134592822,142,0.5774647887323944,-1.9770305803546864,-280.7383424103655,161,0.7142857142857143,4.260816724070473,685.9914925753462,0.6200345423143351,-0.2830655670022475,-163.8949632943013,224.14558382311097,5,947.060646728697,7,11.627248490920625,0.02,0.61,-2.0621308458669643,False,54.0637033890123,-140.62788448907725
NOHOD_g_ETH_adx_strong,587,265,0.5849056603773585,-2.867132822776415,-759.7901980357499,133,0.6090225563909775,-1.6452148262641209,-218.81357189312808,189,0.708994708994709,4.105360904786099,775.9132110045726,0.6303236797274276,-0.34529907823561395,-202.69055892430538,200.0,8,1093.6323258971263,8,10.964061089117218,0.002,0.685,-2.867132822776415,False,56.439381303884076,-173.91592721644554
NOHOD_g_BTC_vol_low,650,308,0.6493506493506493,0.15814505752524002,48.708677717773924,140,0.6,-1.386702127292481,-194.13829782094734,202,0.7079207920792079,4.029487283709448,813.9564313093086,0.6569230769230769,1.0285027864709773,668.5268112061352,167.7102509544104,4,498.2183185210956,6,20.715205155519598,0.0,0.154,-1.386702127292481,False,57.269774658665995,573.6205023904869
