sleeve_id,gate,split,n,wr,dpt,sum,dpt_ci95_lo,dpt_ci95_hi
05_btc_5m_off120_sms_liq,g_as_stable_AND_hy_with,val,19,0.8421052631578947,3.0724624041346775,58.376785678558875,-4.113187209166321,9.266811609719143
05_btc_5m_off120_sms_liq,g_as_stable_AND_hy_with,lockbox,30,0.4,-12.288004145388223,-368.6401243616467,-18.222292360234363,-7.594062269462485
06_eth_5m_s15_hybrid_v1,none,train,7267,0.8059722031099491,0.5352601920420177,3889.735815569343,-0.03775630517925456,1.091694990724954
06_eth_5m_s15_hybrid_v1,none,val,1524,0.8418635170603674,1.2849626141962474,1958.283024035081,0.22517458657039124,2.4185900474222572
06_eth_5m_s15_hybrid_v1,none,lockbox,2724,0.7797356828193832,-0.1910276486328436,-520.359314875866,-0.8693982425942751,0.5502448945951751
06_eth_5m_s15_hybrid_v1,g_as_stable,train,2164,0.8636783733826248,0.5180771617741231,1121.1189780792024,-0.18131158799285563,1.3520273285401971
06_eth_5m_s15_hybrid_v1,g_as_stable,val,1188,0.8611111111111112,0.9499878059867167,1128.5855135122194,-0.09494461536436553,1.6954755033018512
06_eth_5m_s15_hybrid_v1,g_as_stable,lockbox,474,0.7974683544303798,-0.609896375184914,-289.09088183764925,-2.1535190314079515,0.6873176259350686
06_eth_5m_s15_hybrid_v1,g_as_norm_lt_05,train,1577,0.8719086873811034,0.22235998661351414,350.6616988895118,-0.3740574281770061,0.8715703695518363
06_eth_5m_s15_hybrid_v1,g_as_norm_lt_05,val,857,0.8774795799299884,1.1202371459232339,960.0432340562114,0.20604572764714996,2.1179166198934265
06_eth_5m_s15_hybrid_v1,g_as_norm_lt_05,lockbox,355,0.8028169014084507,-0.7049255839211809,-250.2485822920192,-2.4267166223895233,0.551927271368998
06_eth_5m_s15_hybrid_v1,g_as_unstable_skip,train,2470,0.8566801619433199,0.4593381751810434,1134.5652926971773,-0.18670363325620454,1.2186644542719014
06_eth_5m_s15_hybrid_v1,g_as_unstable_skip,val,1380,0.8492753623188406,1.2446018975803597,1717.5506186608964,0.2195807211487704,2.6540250956854914
06_eth_5m_s15_hybrid_v1,g_as_unstable_skip,lockbox,549,0.7941712204007286,-0.824330075757224,-452.55721159071595,-2.0664953520037255,0.30443350303816913
06_eth_5m_s15_hybrid_v1,g_as_norm_lt_15,train,2368,0.859375,0.47516005333490186,1125.1790062970476,-0.23314906775488517,1.293217338221473
06_eth_5m_s15_hybrid_v1,g_as_norm_lt_15,val,1306,0.8506891271056661,0.797336545723345,1041.3215287146886,-0.09015242533176694,1.7457710073835428
06_eth_5m_s15_hybrid_v1,g_as_norm_lt_15,lockbox,524,0.7938931297709924,-0.7958505780611805,-417.0257029040586,-2.0802447628340954,0.6050159442601085
06_eth_5m_s15_hybrid_v1,g_hy_cb_with_dir,train,5657,0.8226975428672442,-0.017050983489506,-96.45741360013545,-0.4432973023328781,0.4626530199015087
06_eth_5m_s15_hybrid_v1,g_hy_cb_with_dir,val,913,0.8543263964950711,1.5180581871857564,1385.9871249005955,0.053262111567439624,3.1907490245686847
06_eth_5m_s15_hybrid_v1,g_hy_cb_with_dir,lockbox,1327,0.7867370007535796,0.07663976790632189,101.70097201168915,-0.9766508072270246,1.1017410105097465
06_eth_5m_s15_hybrid_v1,g_as_stable_AND_hy_with,train,1899,0.8657187993680885,0.30638066266869995,581.8168784078612,-0.35422026041770266,1.3015266394249454
06_eth_5m_s15_hybrid_v1,g_as_stable_AND_hy_with,val,714,0.8697478991596639,0.6314077982796185,450.82516797164755,-0.2063885003981279,1.6891684346557139
