sleeve_id,slug,direction,placed_fire_us,live_vwap,live_shares,live_outcome,live_won,live_pnl,canon_outcome,bt_vwap,bt_shares,bt_pnl,fill_status,book_dt_us
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779984300,DOWN,1779984390000000,0.5623520126282557,8.891228070175439,Up,False,-5.0,Up,0.5623520125558522,8.891228071320196,-5.0,OK,755000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779984900,DOWN,1779984990000000,0.65,7.692307692307692,Up,False,-5.0,Up,0.6499999761581421,7.692307974459867,-5.0,OK,860000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779985800,UP,1779985860000000,0.61,8.19672131147541,Up,True,3.1327868852459013,Up,0.6100000143051147,8.19672111925404,3.132786696868959,OK,2053000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779991500,DOWN,1779991590000000,0.56,8.928571428571427,Up,False,-5.0,Up,0.5600000023841858,8.928571390558263,-5.0,OK,845000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779991800,UP,1779991890000000,0.51,9.803921568627452,Down,False,-5.0,Down,0.5099999904632568,9.803921751955851,-5.0,OK,45000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779992100,UP,1779992190000000,0.77,6.493506493506493,Down,False,-5.0,Down,0.7699999809265137,6.493506654355598,-5.0,OK,636000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779992400,UP,1779992490000000,0.63,7.936507936507937,Up,True,2.8777777777777778,Up,0.6299999952316284,7.936507996578126,2.877777836646563,OK,1180000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779992700,UP,1779992790000000,0.57,8.771929824561404,Down,False,-5.0,Down,0.5699999928474427,8.771929934634617,-5.000000000000001,OK,600000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779994200,UP,1779994290000000,0.77,6.493506493506493,Up,True,1.4636363636363636,Up,0.7699999809265137,6.493506654355598,1.463636521268486,OK,1386000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779997800,UP,1779997890000000,0.52,9.615384615384617,Down,False,-5.0,Down,0.5199999809265137,9.615384968074833,-5.0,OK,622000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780003200,UP,1780003290000000,0.66,7.575757575757575,Up,True,2.5242424242424235,Up,0.6899999976158142,7.246376836632911,2.201449299900253,OK,24366000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780003500,UP,1780003590000000,0.53,9.433962264150942,Down,False,-5.0,Down,0.5299999713897705,9.433962773411018,-5.0,OK,3491000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780008000,DOWN,1780008090000000,0.64,7.8125,Down,True,2.6865,Down,0.6399999856948853,7.812500174622986,2.7562501711305267,OK,17129000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780009500,UP,1780009590000000,0.67,7.462686567164178,Up,True,2.3471865671641785,Up,0.6700000166893005,7.462686381273111,2.4134326536476483,OK,1675000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780009800,DOWN,1780009890000000,0.43,11.627906976744184,Up,False,-5.0,Up,0.4300000071525574,11.627906783327278,-5.0,OK,31477000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780010100,UP,1780010190000000,0.65,7.692307692307692,Down,False,-5.0,Down,0.6499999761581421,7.692307974459867,-5.0,OK,1017000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780010400,DOWN,1780010490000000,0.745615779218197,6.705866666666667,Down,True,1.6168321893930355,Down,0.7456157832900445,6.705866630045572,1.6717492974446602,OK,1519000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1780012800,UP,1780012860000000,0.78,6.41025641025641,Up,True,1.33325641025641,Up,0.7799999713897705,6.410256645383223,1.3820515124755584,OK,12042000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780014000,DOWN,1780014090000000,0.77,6.493506493506493,Up,False,-5.0,Up,0.7699999809265137,6.493506654355598,-5.0,OK,722000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1780016100,DOWN,1780016190000000,0.56,8.928571428571427,Up,False,-5.0,Up,0.5600000023841858,8.928571390558263,-5.0,OK,2077000.0
