combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_btc_extreme__S_zmag__E_trail_3__R_3loss_pause,ETHUSDT,37,0.5135135135135135,0.012852484377641516,2.1169122454303406,0.8323422970511442,-0.19137567190262217,1.200688988338978,1.524412130722359,1.2696144842897383,44.0,0.8332080072574699
X_btc_extreme__S_zmag__E_trail_3__R_dd_pause,ETHUSDT,18,0.6111111111111112,0.030340800406807436,4.362929574885035,1.0788854246934738,-0.10715354697747666,1.200688988338978,1.6537036823066247,1.3772956180720397,51.5,1.801681497311806
X_btc_extreme__S_zmag__E_trail_5__R_none,ETHUSDT,64,0.5,0.013981867736652435,1.6793727038244985,0.8788476580232171,-0.3416391121643706,1.200688988338978,2.056089960318955,1.7124250994950247,63.0,0.8424451371202666
X_btc_extreme__S_zmag__E_trail_5__R_3loss_pause,ETHUSDT,14,0.7142857142857143,0.03919567925884544,5.218541909264517,1.0017266173539279,-0.13284106944225985,1.200688988338978,1.657674247097364,1.3806025233816588,96.0,1.460850968467094
X_btc_extreme__S_zmag__E_trail_5__R_dd_pause,ETHUSDT,13,0.7692307692307693,0.04356434879948679,6.03495382352556,1.0414447736764507,-0.11730832212283071,1.200688988338978,1.6873668839494431,1.4053321887158563,96.0,1.7178948582609115
X_btc_extreme__S_zmag__E_trail_7__R_none,ETHUSDT,56,0.48214285714285715,0.011327701504980293,1.39257704344125,0.5749135611272519,-0.4635498037026412,1.200688988338978,1.516711944694294,1.2632013447483177,91.5,0.3395474075597533
X_btc_extreme__S_zmag__E_trail_7__R_3loss_pause,ETHUSDT,13,0.6153846153846154,0.043898736015181836,4.488738724062459,1.0165920862389815,-0.16255007258299023,1.200688988338978,1.6795978377925562,1.398861698661946,96.0,1.2278009436670871
X_btc_extreme__S_zmag__E_trail_7__R_dd_pause,ETHUSDT,12,0.6666666666666666,0.05230051371300872,6.8843869865141585,1.136495668374897,-0.11200297644330952,1.200688988338978,1.78097559257338,1.4832946831944924,96.0,2.0044599630290043
X_btc_extreme__S_zmag__E_tp5_trail3__R_none,ETHUSDT,101,0.43564356435643564,0.0031145268208907046,1.199741541620027,0.44848234151635913,-0.2836799596674773,1.200688988338978,1.2591821145156423,1.0487163010111247,22.0,0.2969330891399626
X_btc_extreme__S_zmag__E_tp5_trail3__R_3loss_pause,ETHUSDT,48,0.4583333333333333,0.0036848226290085695,1.2671336883038518,0.38859025618618837,-0.20326440110495853,1.200688988338978,1.1516772741464851,0.9591803417300468,23.5,0.24994578861059352
X_btc_extreme__S_zmag__E_tp5_trail3__R_dd_pause,ETHUSDT,26,0.5,0.010628833110712351,1.8580771608250974,0.713802239124511,-0.11029438511664888,1.200688988338978,1.2860649615289297,1.071105818425186,22.0,0.8368635157401154
X_btc_extreme__S_zmag__E_tp7_trail5__R_none,ETHUSDT,73,0.4794520547945205,0.011843252962465115,1.5786085812060207,1.0164753717503412,-0.23138140205731103,1.200688988338978,2.0904022005714364,1.7410022252834012,42.0,1.2763056548344764
X_btc_extreme__S_zmag__E_tp7_trail5__R_3loss_pause,ETHUSDT,17,0.6470588235294118,0.035125902822126936,4.691972802836593,1.31335699943308,-0.11628703873026841,1.200688988338978,1.7589186198347615,1.4649244199932516,60.0,1.884665554413568
X_btc_extreme__S_zmag__E_tp7_trail5__R_dd_pause,ETHUSDT,16,0.6875,0.038421085796603124,5.264769763898934,1.3682855293718401,-0.10045777186049346,1.200688988338978,1.7904247688399502,1.4911644782524467,61.5,2.257479953111122
X_btc_extreme__S_zmag__E_atr_stop__R_none,ETHUSDT,100,0.35,0.007197806484751277,1.4740553599511192,0.7821243746279053,-0.34766261417374195,1.200688988338978,1.7606518923332,1.4663679849091225,23.0,0.6315997816070306
X_btc_extreme__S_zmag__E_atr_stop__R_3loss_pause,ETHUSDT,23,0.4782608695652174,0.0289803069117673,4.173922661561381,1.1929119126902303,-0.10160793635211521,1.200688988338978,1.8176866887502001,1.5138697084786052,48.0,2.2961229538694754
X_btc_extreme__S_zmag__E_atr_stop__R_dd_pause,ETHUSDT,26,0.4230769230769231,0.022925923931211265,3.1251897433559375,1.044530057624929,-0.11809160054307763,1.200688988338978,1.6924847861420385,1.409594659882245,48.0,1.7173191217140087
X_btc_extreme__S_zmag_cap2__E_24h__R_none,ETHUSDT,111,0.5135135135135135,0.004937158079733966,1.3141006860792364,0.614598809815635,-0.40618447719568784,1.200688988338978,1.5065481178960665,1.2547363493190782,24.0,0.3807862656531166
