sleeve,coin,variant,gate,entry_ts,exit_ts,window,side,ret_pct,realized,reason,bars,funding_cost,regime
STF_SOL,SOL,baseline,FUND_Z,2024-06-14 16:00:00+00:00,2024-06-16 20:00:00+00:00,IS,SHORT,-3.0716209522508793,-311.0393837790337,SL,13,-4.337732984808248,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-07-03 16:00:00+00:00,2024-07-10 04:00:00+00:00,IS,SHORT,-1.3796986669304379,-135.54852316839393,SL,39,-9.311991511193119,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-07-27 08:00:00+00:00,2024-07-30 16:00:00+00:00,IS,LONG,-3.0764347178876195,-297.6867561417699,SL,20,12.598106194076886,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-08-12 00:00:00+00:00,2024-08-14 12:00:00+00:00,IS,SHORT,-3.05356191818858,-286.4619095096159,SL,15,-2.569332922363701,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-08-28 00:00:00+00:00,2024-09-07 00:00:00+00:00,IS,SHORT,8.933349542731934,811.8711065744064,TIME,60,6.683129196237786,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-09-16 00:00:00+00:00,2024-09-17 12:00:00+00:00,IS,SHORT,-3.1124235438777075,-308.272639909505,SL,9,-4.621124531707034,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-09-19 04:00:00+00:00,2024-09-29 04:00:00+00:00,IS,LONG,8.731335363612015,834.7985832309728,TIME,60,35.36279174361819,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-10-07 04:00:00+00:00,2024-10-07 20:00:00+00:00,IS,LONG,-3.0965814442023323,-321.83168498982144,SL,4,2.6199111149401464,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-10-09 20:00:00+00:00,2024-10-11 16:00:00+00:00,IS,SHORT,-3.0937157059196476,-311.7243403932471,SL,11,-4.753269576430138,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-10-12 12:00:00+00:00,2024-10-21 00:00:00+00:00,IS,LONG,14.933850246150055,1452.5966512939706,TP,51,37.45260178865328,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-10-29 00:00:00+00:00,2024-10-31 12:00:00+00:00,IS,LONG,-3.0898186097967075,-345.0748450293587,SL,15,11.343369039276842,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-11-06 04:00:00+00:00,2024-11-16 04:00:00+00:00,IS,LONG,10.298892745572129,1102.6580843446911,TIME,60,116.48220753760367,MedVol
STF_SOL,SOL,baseline,FUND_Z,2024-12-09 20:00:00+00:00,2024-12-12 16:00:00+00:00,IS,SHORT,-3.0660261398458637,-362.5239464879903,SL,17,-14.675326200071673,MedVol
STF_SOL,SOL,baseline,FUND_Z,2025-03-03 20:00:00+00:00,2025-03-13 20:00:00+00:00,IS,SHORT,3.102129024750364,355.38299370318674,TIME,60,5.2790257442982,MedVol
STF_SOL,SOL,baseline,FUND_Z,2025-03-18 04:00:00+00:00,2025-03-19 12:00:00+00:00,IS,SHORT,-3.0669136708960605,-362.2441660048888,SL,8,0.1242705724613725,MedVol
STF_SOL,SOL,baseline,FUND_Z,2025-03-28 08:00:00+00:00,2025-04-07 04:00:00+00:00,IS,SHORT,14.959716871639284,1710.389856985401,TP,59,15.810588340324866,MedVol
STF_SOL,SOL,baseline,FUND_Z,2025-05-08 04:00:00+00:00,2025-05-10 20:00:00+00:00,IS,LONG,14.915103705600153,1956.9553882905004,TP,16,23.0647466858438,MedVol
STF_SOL,SOL,baseline,FUND_Z,2025-05-22 08:00:00+00:00,2025-05-25 12:00:00+00:00,IS,LONG,-3.066741339309007,-462.1482325464951,SL,19,7.900043208270722,MedVol
