rule,asset,tf,fire_offset_s,n,wr,dpt,sum_pnl
MP-D,ALL,ALL,90,2410,0.5049792531120332,-1.631309221269343,-3931.4552232591163
MP-D,ALL,5m,90,2410,0.5049792531120332,-1.631309221269343,-3931.4552232591163
MP-D,SOL,5m,105,206,0.5242718446601942,-1.6341779242690053,-336.6406523994151
MP-D,SOL,ALL,105,206,0.5242718446601942,-1.6341779242690053,-336.6406523994151
MP-C,ALL,ALL,75,4949,0.5140432410587997,-1.6386676066951735,-8109.765985534414
MP-C,ALL,5m,75,4949,0.5140432410587997,-1.6386676066951735,-8109.765985534414
MP-C,ETH,15m,240,2012,0.4865805168986084,-1.6449881183435133,-3309.716094107149
MP-E,BTC,ALL,255,1463,0.5160628844839371,-1.6451529840279417,-2406.8588156328788
MP-E,BTC,5m,255,1463,0.5160628844839371,-1.6451529840279417,-2406.8588156328788
MP-C,SOL,ALL,15,1476,0.4905149051490515,-1.6624525527686,-2453.7799678864535
MP-C,SOL,5m,15,1476,0.4905149051490515,-1.6624525527686,-2453.7799678864535
MP-D,ALL,15m,360,678,0.5221238938053098,-1.6830370005446273,-1141.0990863692573
MP-D,ALL,ALL,360,678,0.5221238938053098,-1.6830370005446273,-1141.0990863692573
MP-E,BTC,ALL,300,1515,0.6237623762376238,-1.6871556736241173,-2556.0408455405377
MP-C,ALL,ALL,150,16397,0.523571385009453,-1.6878616815703158,-27675.867992708467
MP-C,ALL,5m,150,16397,0.523571385009453,-1.6878616815703158,-27675.867992708467
