n,wr,dpt,tot_pnl,n_wins,n_losses,market,tod,stack,wr_all,dpt_all,n_all,wr_lift_pp,dpt_lift,tod_share
41303,0.6998765222865168,-0.3843767264540121,-15875.911932730063,28907,12396,ETH_5m,ALL,S3_rf+ema200+ribbon,0.6998765222865168,-0.3843767264540121,41303,0.0,0.0,1.0
12071,0.7047469140916246,-0.4073337956643211,-4916.92624746402,8507,3564,ETH_5m,asia_morning,S3_rf+ema200+ribbon,0.6998765222865168,-0.3843767264540121,41303,0.4870391805107843,-0.02295706921030899,0.2922547998934702
10622,0.700527207682169,-0.2565853534712584,-2725.4496245717064,7441,3181,ETH_5m,european_morning,S3_rf+ema200+ribbon,0.6998765222865168,-0.3843767264540121,41303,0.06506853956522729,0.12779137298275373,0.25717260247439655
9563,0.6914148279828506,-0.49793169660195036,-4761.720814604451,6612,2951,ETH_5m,us_afternoon,S3_rf+ema200+ribbon,0.6998765222865168,-0.3843767264540121,41303,-0.8461694303666167,-0.11355497014793825,0.23153281843933854
9047,0.7015585276887366,-0.38375320505028016,-3471.8152460898846,6347,2700,ETH_5m,us_evening,S3_rf+ema200+ribbon,0.6998765222865168,-0.3843767264540121,41303,0.1682005402219855,0.0006235214037319525,0.21903977919279471
33123,0.710291942154998,-0.3014925640032217,-9986.338197478713,23527,9596,ETH_5m,ALL,S4_rf+ema200+mfi,0.710291942154998,-0.3014925640032217,33123,0.0,0.0,1.0
9622,0.7147162752026606,-0.3696260429893088,-3556.541785643129,6877,2745,ETH_5m,asia_morning,S4_rf+ema200+mfi,0.710291942154998,-0.3014925640032217,33123,0.4424333047662543,-0.06813347898608707,0.2904930108987712
8488,0.7139491046182846,0.01361040230601548,115.52509477345939,6060,2428,ETH_5m,european_morning,S4_rf+ema200+mfi,0.710291942154998,-0.3014925640032217,33123,0.3657162463286623,0.3151029663092372,0.2562569815536032
7597,0.7030406739502435,-0.3248552839682674,-2467.9255923069277,5341,2256,ETH_5m,us_afternoon,S4_rf+ema200+mfi,0.710291942154998,-0.3014925640032217,33123,-0.7251268204754524,-0.023362719965045686,0.22935724421097123
7416,0.7077939590075513,-0.5498106680558409,-4077.3959143021157,5249,2167,ETH_5m,us_evening,S4_rf+ema200+mfi,0.710291942154998,-0.3014925640032217,33123,-0.24979831474467584,-0.24831810405261917,0.22389276333665428
32438,0.7336148961095013,-0.29628016598240337,-9610.7360241372,23797,8641,ETH_5m,ALL,S5_rf+ema200+ema800,0.7336148961095013,-0.29628016598240337,32438,0.0,0.0,1.0
9502,0.7346874342243738,-0.4654184857330952,-4422.406451435871,6981,2521,ETH_5m,asia_morning,S5_rf+ema200+ema800,0.7336148961095013,-0.29628016598240337,32438,0.10725381148725122,-0.16913831975069182,0.2929280473518713
8373,0.7298459333572196,-0.32489373881361755,-2720.3352750864196,6111,2262,ETH_5m,european_morning,S5_rf+ema200+ema800,0.7336148961095013,-0.29628016598240337,32438,-0.3768962752281668,-0.028613572831214185,0.2581231888525803
7539,0.7298050139275766,-0.4262438711881724,-3213.452544887632,5502,2037,ETH_5m,us_afternoon,S5_rf+ema200+ema800,0.7336148961095013,-0.29628016598240337,32438,-0.3809882181924684,-0.12996370520576905,0.23241260250323695
7024,0.740746013667426,0.10613016048871324,745.4582472727218,5203,1821,ETH_5m,us_evening,S5_rf+ema200+ema800,0.7336148961095013,-0.29628016598240337,32438,0.7131117557924727,0.40241032647111663,0.21653616129231149
64763,0.5626051912357365,-2.0933599600065227,-135572.27108990244,36436,28327,ETH_5m,ALL,S6_rf+within_dev,0.5626051912357365,-2.0933599600065227,64763,0.0,0.0,1.0
18666,0.5674488374584806,-2.0533245306210253,-38327.35568857205,10592,8074,ETH_5m,asia_morning,S6_rf+within_dev,0.5626051912357365,-2.0933599600065227,64763,0.48436462227441357,0.04003542938549742,0.28822012568905087
16522,0.5689989105435177,-1.9162141147637743,-31659.68960412708,9401,7121,ETH_5m,european_morning,S6_rf+within_dev,0.5626051912357365,-2.0933599600065227,64763,0.6393719307781209,0.17714584524274835,0.25511480320553404
15587,0.5462244177840508,-2.3297728729050413,-36314.16976997088,8514,7073,ETH_5m,us_afternoon,S6_rf+within_dev,0.5626051912357365,-2.0933599600065227,64763,-1.6380773451685648,-0.23641291289851862,0.2406775473650078
13988,0.5668430082928224,-2.0925833591101255,-29271.056027232436,7929,6059,ETH_5m,us_evening,S6_rf+within_dev,0.5626051912357365,-2.0933599600065227,64763,0.4237817057085924,0.0007766008963971949,0.21598752374040733
