tf,mode,s_now,tau_s,reason,signal,strike,symbol,cvd_30s,cvd_60s,fair_up,fee_usd,fill_qty,macd_hist,fill_price,kelly_mult,kelly_rule,entry_phase,fill_status,rvol_30_300,condition_id,fair_edge_bp,qty_intended,vwap_dev_bps,strategy_mode,predicted_edge_pp,kelly_notional_usd,predicted_cost_bps,_at
5m,paper,2102.85,180.0,order_placed,DOWN,2107.99,ETH,-832336.0464200001,-1299758.6573700004,0.009301152393071777,3.4998523524125,200.0000,0.122315440388923,0.5032475,4.0,S4,t_plus_120,filled,3.298946524388862,0xa2430598bf24ec3b686802f422396758f566301d8b6ba2b1b1192d0733d30f0a,-5006.988476069283,25,-17.285750050363326,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 17:22:05.164832+02
5m,paper,84.5,180.0,order_placed,DOWN,84.86,SOL,-96054.69147999998,-624940.91648,0.020220745698228182,3.5711792299274423,204.0816,0.004985047127322907,0.5041729974676795948287351726,4.0,S4,t_plus_120,filled,1.8258795331886208,0x79c60cfec4fd42f667a29460fe0ade12977dde4eabe72e060f02bc49445436e5,-5097.792543017718,25,-16.422069774284545,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 17:32:04.491282+02
5m,paper,76425.09,180.0,order_placed,DOWN,76435.21,BTC,371305.67311619985,120840.94575279995,0.4668446617751098,0.875,50.0000,-1.7238010588523234,0.5,1.0,S8,t_plus_120,filled,1.3502284844282246,0xac8cbe69576a6775a98325a920ad0610e5d55943c2601734fd6d727561a5c270,-431.55338224890204,25,-4.135693264013112,vwap_kelly_ensemble,3.0,25.0,400.0,2026-05-26 17:37:07.779455+02
5m,paper,84.66,180.0,order_placed,UP,84.56,SOL,49219.480749999995,108912.65185,0.7059281073230557,1.643245898568301,94.3396,-0.0007121577398244254,0.5341403185936764624823509958,2.0,S4,t_plus_120,filled,0.6696521939241948,0x63da8203afb55427b370b70df780ca303b29fb093deb4a2fff6f247a15374b38,1759.2810732305563,25,8.524779722979016,vwap_kelly_ensemble,3.0,50.0,400.0,2026-05-26 17:42:10.704361+02
5m,paper,76468.0,180.0,order_placed,DOWN,76527.0,BTC,686214.7195024998,497915.67237419996,0.2954814484770647,2.625,150.0000,-5.000043853111318,0.5,3.0,S8,t_plus_120,filled,1.4418321309242592,0x0cda8128f366f1917f6176548bdb0f30321544c2ec816fa0cd5101209b08f970,-2145.185515229353,25,-0.18968776398298556,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 17:47:08.500258+02
5m,paper,84.36,180.0,order_placed,DOWN,84.42,SOL,102977.85504999997,111489.21037999999,0.3422144520046374,1.7856965681126327,102.0408,-0.0011236242680352278,0.5015621986499517839922854388,2.0,S8,t_plus_120,filled,1.5840870719193916,0xfb1cf783dd2cb501376853afac6793c0f27e907a34271d4869fdc64d671d4f2a,-1777.8554799536262,25,-9.823685603013265,vwap_kelly_ensemble,3.0,50.0,400.0,2026-05-26 18:07:11.934172+02
5m,paper,84.13,180.0,order_placed,DOWN,84.38,SOL,-81305.29552000001,-119909.36865,0.018282920435179872,3.5664011265936826,204.0816,0.00030842227803041036,0.5187584966013594562175129948,4.0,S4,t_plus_120,filled,1.4100374368141,0xca5a4ee446dae0aced107e98902d276ba2968caef5b4996f94a53e279c910060,-5117.170795648201,25,-30.97924512609919,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 18:12:05.947683+02
5m,paper,2079.19,180.0,order_placed,DOWN,2084.61,ETH,-727862.3660629999,-1405300.6759219998,0.01480713628936331,3.5,200.0000,0.0031468980479390785,0.5,4.0,S4,t_plus_120,filled,2.4955820840485723,0x21a97b988684b9e78a8abf49435c0ab99117bd1730f4b77f3e58c60f676d23ce,-5051.928637106366,25,-19.909858765920475,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 18:12:05.956705+02
5m,paper,2084.34,180.0,order_placed,UP,2078.8,ETH,236909.98319200007,409066.5074479999,0.9619288567740307,3.4183280660119895,196.0784,-0.05447599196178654,0.5308276485324237651878024300,4.0,S4,t_plus_120,filled,0.8448023489531278,0x28ee6445c70a1bb06be776d04aab76f56a7b48e70d4cfcdaaff1a1fe1c8b6946,4519.288567740307,25,13.471987119148963,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 18:17:08.19803+02
5m,paper,84.4,180.0,order_placed,UP,84.16,SOL,107451.72208,79109.44305999996,0.9602580053384961,3.2804516208818355,188.6792,-0.0004405030396076974,0.5402850976684234404216257012,4.0,S4,t_plus_120,filled,0.5377148741678114,0x5fa104ff1ac8fa5bde6d92226e0f3d0311da9d38665173370d1b3ea5df73b478,4302.5800533849615,25,15.613774734002362,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 18:17:08.252641+02
5m,paper,76492.0,180.0,order_placed,UP,76350.0,BTC,622795.2332059002,1130203.8397573,0.9381752271309397,3.3574471809885886,192.3076,-0.21962479208853658,0.5242799972543986821113674135,4.0,S4,t_plus_120,filled,0.1308578016996217,0x0e315a2cd626688d5bb054b60f9dab12f18be22529da9cf2c2a406a5060ef64a,4181.752271309397,25,16.650111413282684,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 18:17:08.262864+02
5m,paper,76431.97,180.0,order_placed,UP,76472.25,BTC,235661.00851220003,-54325.68438349986,0.3191018684438921,0.8574998628,49.0196,1.624772959626653,0.51,1.0,S8,t_plus_120,filled,1.2944472688489919,0x0cd229d96325b63f15d26f585f2f75f09ba47dd103cd4220d498c4436357d95a,-1908.981315561079,25,3.484363105420457,vwap_kelly_ensemble,3.0,25.0,400.0,2026-05-26 18:22:07.839489+02
5m,paper,84.51,180.0,order_placed,UP,84.41,SOL,32392.922399999996,52347.78397000001,0.8007185153270655,2.561055680915832,147.0588,-0.0013016422990689506,0.5348093959695033551205368193,3.0,S4,t_plus_120,filled,0.6140784120335049,0xff2977e3f3c07c955db7f3e5dc0d4b0a40c0dd0d3799a8b77136c86bcd32be91,2907.185153270655,25,20.881578559345478,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 18:37:11.531076+02
5m,paper,76704.59,180.0,order_placed,UP,76605.04,BTC,189230.38484820002,614667.4921329999,0.9478576206729579,2.5724995884,147.0588,0.8840984302490424,0.51,3.0,S4,t_plus_120,filled,1.0385951017214712,0x6bbed563abdeee0b46c35ce1c7a1531a60add6cac638ee4d93b4e5bd970ad492,4378.576206729578,25,16.47738635814057,vwap_kelly_ensemble,3.0,75.0,400.0,2026-05-26 18:37:11.536898+02
5m,paper,2081.5,180.0,order_placed,UP,2080.77,ETH,81023.479358,46289.91935,0.6005188188154897,0.8389179070280648,48.0769,0.02442234722425418,0.5268591984924152763593326525,1.0,S4,t_plus_120,filled,0.8107123470454807,0x2f6d35348b8ea760a59d16bffa2a8dde5fba7ec8262bb6e494321b2b7ec9b66f,805.1881881548973,25,10.944679482023101,vwap_kelly_ensemble,3.0,25.0,400.0,2026-05-26 18:42:03.383478+02
5m,paper,76569.91,180.0,order_placed,UP,76558.0,BTC,-88033.23618200001,22103.825266399985,0.5937677032034101,0.8399995968,48.0769,0.13335915336183302,0.52,1.0,S8,t_plus_120,filled,1.3646041868352554,0x372ed8f0ce54a1bce58a7a6eeeb2e39749b6fdfe79f4bacee967fab4bcb8307a,737.6770320341009,25,1.7718775008601635,vwap_kelly_ensemble,3.0,25.0,400.0,2026-05-26 19:02:05.71876+02
5m,paper,76442.01,180.0,order_placed,DOWN,76481.18,BTC,-428930.69538800005,-265106.917983,0.15632576033113382,3.5,200.0000,-1.1434919828086603,0.5,4.0,S8,t_plus_120,filled,1.6635919218215538,0x78470c7223b457c6e11b0000df3d6084df8f57a97910c2984b07da36d1e2d3ca,-3536.7423966886618,25,-2.1897475578469248,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 19:17:11.475263+02
5m,paper,84.09,180.0,order_placed,DOWN,84.17,SOL,-28005.937870000005,-16324.866659999992,0.18947775116409604,3.48548424,200.0000,-0.0009453933314806651,0.5322,4.0,S8,t_plus_120,filled,1.2318164800129732,0x7024c6938af6b204c40c520910b71fd21af9d88ab8e6f88c0099050659cc4c49,-3405.2224883590397,25,-3.1587919222091365,vwap_kelly_ensemble,3.0,100.0,400.0,2026-05-26 19:17:11.476244+02
