fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls,ticks_vs_bid
565,btc-updown-5m-1782960600,Up,1782960661,0.48,16.0,0.49,0.5,1782960660735000.0,0.265,MAKER_at_bid,-1.0
570,sol-updown-15m-1782960300,Down,1782960556,0.7,13.0,0.69,0.7,1782960554381000.0,1.619,TAKER_at_ask,1.0
571,eth-updown-15m-1782960300,Down,1782960556,0.63,21.0,0.62,0.63,1782960554641000.0,1.359,TAKER_at_ask,1.0
572,btc-updown-15m-1782960300,Down,1782960556,0.54,2.24,0.56,0.57,1782960555697000.0,0.303,MAKER_at_bid,-2.0
573,sol-updown-15m-1782960300,Down,1782960554,0.6,5.0,0.69,0.7,1782960553958000.0,0.042,MAKER_at_bid,-9.0
574,eth-updown-15m-1782960300,Down,1782960554,0.54,5.0,0.62,0.63,1782960553980000.0,0.02,MAKER_at_bid,-8.0
575,eth-updown-15m-1782960300,Down,1782960553,0.52,16.0,0.55,0.57,1782960552109000.0,0.891,MAKER_at_bid,-3.0
576,sol-updown-15m-1782960300,Down,1782960553,0.58,11.09,0.59,0.61,1782960551887000.0,1.113,MAKER_at_bid,-1.0
577,eth-updown-15m-1782960300,Down,1782960551,0.5,5.0,0.51,0.52,1782960550203000.0,0.797,MAKER_at_bid,-1.0
578,btc-updown-15m-1782960300,Down,1782960551,0.42,3.13,0.45,0.47,1782960550230000.0,0.77,MAKER_at_bid,-3.0
579,btc-updown-15m-1782960300,Down,1782960544,0.41,15.0,0.4,0.41,1782960543860000.0,0.14,TAKER_at_ask,1.0
580,btc-updown-15m-1782960300,Down,1782960517,0.37,29.0,0.36,0.37,1782960516994000.0,0.006,TAKER_at_ask,1.0
581,eth-updown-15m-1782960300,Down,1782960515,0.43,10.0,0.42,0.43,1782960514860000.0,0.14,TAKER_at_ask,1.0
582,btc-updown-15m-1782960300,Down,1782960514,0.33,26.0,0.36,0.37,1782960513960000.0,0.04,MAKER_at_bid,-3.0
584,btc-updown-15m-1782960300,Up,1782960443,0.74,17.0,0.74,0.75,1782960442510000.0,0.49,MAKER_at_bid,0.0
585,btc-updown-15m-1782960300,Up,1782960443,0.74,44.0,0.74,0.75,1782960442510000.0,0.49,MAKER_at_bid,0.0
586,btc-updown-15m-1782960300,Down,1782960379,0.41,16.0,0.39,0.4,1782960378727000.0,0.273,TAKER_at_ask,2.0
587,btc-updown-15m-1782960300,Up,1782960364,0.62,48.0,0.59,0.6,1782960362978000.0,1.022,TAKER_at_ask,3.0
590,sol-updown-15m-1782959400,Up,1782960175,0.999,30.0,0.998,0.999,1782960171618000.0,3.382,TAKER_at_ask,0.0
591,eth-updown-15m-1782959400,Up,1782960139,0.99,76.0,0.98,0.99,1782960138834000.0,0.166,TAKER_at_ask,1.0
592,btc-updown-15m-1782959400,Up,1782960133,0.997,60.0,0.996,0.997,1782960130894000.0,2.106,TAKER_at_ask,0.0
594,btc-updown-15m-1782959400,Up,1782960128,0.997,110.0,0.996,0.997,1782960126328000.0,1.672,TAKER_at_ask,0.0
595,sol-updown-15m-1782959400,Up,1782960122,0.997,30.0,0.996,0.997,1782960120682000.0,1.318,TAKER_at_ask,0.0
596,sol-updown-15m-1782959400,Up,1782960110,0.995,30.0,0.99,0.995,1782960108216000.0,1.784,TAKER_at_ask,1.0
598,btc-updown-15m-1782959400,Up,1782960089,0.994,70.0,0.993,0.994,1782960087863000.0,1.137,TAKER_at_ask,0.0
599,btc-updown-15m-1782959400,Up,1782960089,0.992,80.0,0.993,0.994,1782960087863000.0,1.137,MAKER_at_bid,-0.0
600,btc-updown-15m-1782959400,Up,1782960080,0.992,30.0,0.991,0.992,1782960078692000.0,1.308,TAKER_at_ask,0.0
601,eth-updown-15m-1782959400,Up,1782960035,0.95,20.0,0.93,0.94,1782960025397000.0,9.603,TAKER_at_ask,2.0
602,eth-updown-15m-1782959400,Up,1782960022,0.92,40.0,0.93,0.94,1782960021516000.0,0.484,MAKER_at_bid,-1.0
603,eth-updown-15m-1782959400,Up,1782960019,0.92,29.0,0.91,0.92,1782960018412000.0,0.588,TAKER_at_ask,1.0
604,eth-updown-15m-1782959400,Up,1782959965,0.94,42.0,0.93,0.94,1782959961684000.0,3.316,TAKER_at_ask,1.0
613,btc-updown-15m-1782959400,Down,1782959821,0.15,15.87,0.16,0.17,1782959820467000.0,0.533,MAKER_at_bid,-1.0
614,eth-updown-15m-1782959400,Up,1782959761,0.83,5.45,0.83,0.85,1782959760626000.0,0.374,MAKER_at_bid,0.0
615,eth-updown-15m-1782959400,Up,1782959758,0.82,6.5,0.82,0.84,1782959757886000.0,0.114,MAKER_at_bid,0.0
616,btc-updown-15m-1782959400,Down,1782959710,0.18,26.0,0.17,0.19,1782959709688000.0,0.312,INSIDE_spread,1.0
617,sol-updown-15m-1782959400,Down,1782959644,0.35,14.0,0.34,0.35,1782959641571000.0,2.429,TAKER_at_ask,1.0
