fid,slug,outcome,ts,price,size
377,btc-updown-15m-1783957500,Down,1783958105,0.8,24.15
378,btc-updown-15m-1783957500,Up,1783957621,0.5,30.0
379,btc-updown-15m-1783957500,Down,1783957510,0.53,9.64
380,btc-updown-5m-1783957200,Up,1783957480,0.08,20.0
381,btc-updown-5m-1783957200,Up,1783957442,0.1,20.0
382,btc-updown-5m-1783957200,Down,1783957387,0.91,20.0
383,btc-updown-5m-1783957200,Down,1783957385,0.91,20.0
384,btc-updown-15m-1783956600,Down,1783957375,0.992,25.94
385,btc-updown-15m-1783956600,Up,1783957232,0.02,50.0
386,btc-updown-15m-1783956600,Down,1783957181,0.94,30.0
387,btc-updown-15m-1783956600,Down,1783957181,0.92,30.0
388,btc-updown-15m-1783956600,Down,1783957171,0.96,4.91
389,btc-updown-15m-1783956600,Down,1783957019,0.84,12.0
390,btc-updown-15m-1783956600,Down,1783956994,0.81,18.42
391,btc-updown-15m-1783956600,Up,1783956958,0.12,30.0
392,btc-updown-15m-1783956600,Up,1783956958,0.12,30.0
393,btc-updown-15m-1783956600,Down,1783956952,0.82,30.0
394,btc-updown-15m-1783956600,Up,1783956884,0.22,30.0
395,btc-updown-15m-1783956600,Up,1783956884,0.22,30.0
396,btc-updown-15m-1783956600,Down,1783956781,0.59,12.0
397,btc-updown-15m-1783955700,Up,1783956577,0.95,26.0
398,btc-updown-15m-1783955700,Up,1783956577,0.93,7.73
399,btc-updown-15m-1783955700,Up,1783956535,0.65,30.0
400,btc-updown-15m-1783955700,Down,1783956530,0.32,15.35
401,btc-updown-15m-1783955700,Down,1783956529,0.2799999864,35.357141
402,btc-updown-15m-1783955700,Up,1783956509,0.78,8.0
403,btc-updown-15m-1783955700,Up,1783956505,0.8,30.0
404,btc-updown-15m-1783955700,Up,1783956505,0.8,30.0
405,btc-updown-15m-1783955700,Up,1783956482,0.52,30.0
406,btc-updown-15m-1783955700,Up,1783956481,0.52,30.0
407,btc-updown-15m-1783955700,Down,1783956469,0.47,8.0
