sleeve_idx,asset_pool,offset_bin,r4_gate_stack,r5_combo,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum,lockbox_p,dpt_lift_vs_base,wr_lift_vs_base,sum_lift_vs_base,n_kept_pct,val_pass,lockbox_pass,deployable
13,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with&g_vwap_ge_30,g_mp_very_no_extreme&g_lm_low_stat,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.521929162281318,-0.0193965517241379,-1982.4305137645192,0.15104166666666666,True,True,True
9,POOL,120-240,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.248115137950946,0.005974735404574938,-2040.6964347183953,0.14356435643564355,True,True,True
10,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_mp_very_no_extreme&g_lm_low_stat,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.248115137950946,0.005974735404574938,-2040.6964347183953,0.14356435643564355,True,True,True
9,POOL,120-240,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_no_extreme&g_mp_very_no_extreme&g_lm_low_stat,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.248115137950946,0.005974735404574938,-2040.6964347183953,0.14356435643564355,True,True,True
10,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat&g_lm_extreme_against,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.248115137950946,0.005974735404574938,-2040.6964347183953,0.14356435643564355,True,True,True
9,POOL,120-240,g_tr_stack_with&g_tr_stack_full_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat&g_lm_extreme_against,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.248115137950946,0.005974735404574938,-2040.6964347183953,0.14356435643564355,True,True,True
13,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with&g_vwap_ge_30,g_mp_no_extreme&g_mp_very_no_extreme&g_lm_low_stat,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.521929162281318,-0.0193965517241379,-1982.4305137645192,0.15104166666666666,True,True,True
10,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with,g_mp_very_no_extreme&g_lm_low_stat,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.248115137950946,0.005974735404574938,-2040.6964347183953,0.14356435643564355,True,True,True
13,POOL,120-240,g_tr_stack_full_with&g_trend_slope_with&g_vwap_ge_30,g_mp_very_no_extreme&g_lm_low_stat&g_lm_extreme_against,111,0.8828828828828829,6.974509383642626,774.1705415843315,55,0.7818181818181819,4.947626427659769,272.11945352128726,29,0.7931034482758621,6.835706224579792,198.23548051281398,0.042,-4.521929162281318,-0.0193965517241379,-1982.4305137645192,0.15104166666666666,True,True,True
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_strong_with&g_lm_extreme_against,61,0.9016393442622951,4.216446371585819,257.20322866673496,42,0.9047619047619048,3.4688358882901724,145.69110730818724,31,0.8387096774193549,6.390604073962582,198.10872629284003,0.02,-4.431729278207962,0.05775729646697392,-3210.9262796408816,0.09841269841269841,True,True,True
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_with&g_mp_strong_with&g_lm_extreme_against,61,0.9016393442622951,4.216446371585819,257.20322866673496,42,0.9047619047619048,3.4688358882901724,145.69110730818724,31,0.8387096774193549,6.390604073962582,198.10872629284003,0.02,-4.431729278207962,0.05775729646697392,-3210.9262796408816,0.09841269841269841,True,True,True
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_with&g_mp_strong_with,61,0.9016393442622951,4.216446371585819,257.20322866673496,42,0.9047619047619048,3.4688358882901724,145.69110730818724,31,0.8387096774193549,6.390604073962582,198.10872629284003,0.02,-4.431729278207962,0.05775729646697392,-3210.9262796408816,0.09841269841269841,True,True,True
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_strong_with,61,0.9016393442622951,4.216446371585819,257.20322866673496,42,0.9047619047619048,3.4688358882901724,145.69110730818724,31,0.8387096774193549,6.390604073962582,198.10872629284003,0.02,-4.431729278207962,0.05775729646697392,-3210.9262796408816,0.09841269841269841,True,True,True
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_mp_no_extreme&g_mp_strong_with,61,0.9016393442622951,4.216446371585819,257.20322866673496,42,0.9047619047619048,3.4688358882901724,145.69110730818724,30,0.8333333333333334,6.579710899775247,197.3913269932574,0.012,-4.242622452395297,0.05238095238095242,-3211.6436789404643,0.09523809523809523,True,True,True
