sleeve,at,symbol,tf,signal,outcome,won,pnl_usd,entry_qty,entry_price,cid
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 02:25:52.611697+02:00,BTC,5m,UP,Down,False,-24.999996,49.0196,0.51,0xa5987268b52d7c90c7b80cca38a4bdedb8bc680d5c9dc64f9288bb6fcb211680
shadow_poly_updown_btc_5m_fade_sniper,2026-05-27 03:30:43.189815+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0x241a0183a28f13e314378aa1d53e3f64a38ea229d380b2e9467fb79f058a40ea
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 03:30:45.375897+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0x241a0183a28f13e314378aa1d53e3f64a38ea229d380b2e9467fb79f058a40ea
shadow_poly_updown_sol_5m_fade_sniper,2026-05-27 04:31:07.825206+02:00,SOL,5m,UP,Up,True,21.3473062,47.1698,0.53,0x1c95a7ef5377484548c56d4f7587acc0a54c90608fef5e92531afd5ab24641ee
shadow_poly_updown_eth_15m_fade_sniper,2026-05-27 05:30:56.925249+02:00,ETH,15m,DOWN,Down,True,21.3473062,47.1698,0.53,0x08e2beb4706c296a4afe4f8edf7d5fe6e72cf27770a2aa4e5ccb4b0a65458d8f
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 05:45:33.759348+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0xc0ca8373c18615e1afac7517b5704308b148c8315c012607a9aee793e63f11d2
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-27 05:46:12.738349+02:00,SOL,5m,UP,Down,False,-25.879388,49.0196,0.527939599670336,0x130063c3f05355ccfce0eb8a1b07bef9487aaba609b8e0fab400f451cf01af52
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-27 06:40:55.865187+02:00,SOL,5m,UP,Up,True,21.3045911,47.1698,0.530909437818265,0x6eaf52e1141d2d21212f04bcdd70e15e5e9868f977b86b09970243c28b9ea798
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 06:41:09.578401+02:00,BTC,5m,UP,Up,True,20.69122552,47.1698,0.5439813185555165,0x83973ca4dc6245658faf81bd162adad936f6b580f632f2daf08da374545a7ad4
shadow_poly_updown_sol_5m_fade_sniper,2026-05-27 06:46:32.782766+02:00,SOL,5m,UP,Down,False,-25.27259,47.1698,0.5357790365869688,0xe59c29cf1df24b241b8a40f2c399045694bc0527b617f31b39f23e7beb697d9c
shadow_poly_updown_btc_5m_fade_sniper,2026-05-27 06:46:35.178213+02:00,BTC,5m,UP,Down,False,-25.231992,47.1698,0.5349183587804061,0x2691c76677160c1dc92fb80882a3c6b30681ccba2bc59fd1eed6b8e0cd1b7852
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 06:55:18.519818+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0x406a95fbf9a15d360eef32ae0c394a463f45daa3fdd2d549def293fdb55d0053
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-27 06:56:08.935775+02:00,SOL,5m,DOWN,Up,False,-25.618404,51.0204,0.5021207987393278,0x169e981f1fb7cc1da100ca9d0882e60363a05e677ccc03df778b36edb0b9afab
shadow_poly_updown_sol_5m_fade_sniper,2026-05-27 07:01:44.504741+02:00,SOL,5m,DOWN,Up,False,-25.65,50.0,0.513,0xc86c96d233063a1fb2eb3f012e2eb6bb22724495ded07db795e99b42ec393169
shadow_poly_updown_sol_15m_fade_momo_v2,2026-05-27 07:02:07.625579+02:00,SOL,15m,UP,Up,True,21.00552746,47.1698,0.5372799969471993,0x82f8b9d0d86b913778a4df05ba13cba25c33bc0362ce31ae55171baea11f9483
shadow_poly_updown_btc_5m_fade_sniper,2026-05-27 07:02:08.714615+02:00,BTC,5m,DOWN,Down,True,25.12790414,51.0204,0.49,0x026017d8d2b2a945aa8bccd9e06b887e98fe76108214e5981ad7d540c3ac2aed
shadow_poly_updown_sol_15m_fade_momo_v2,2026-05-27 07:15:52.081840+02:00,SOL,15m,DOWN,Up,False,-25.25,50.0,0.505,0x9178fa814f53b69b758ddd06b2a23ab3f8b30d0459361d399897876d774a3372
shadow_poly_updown_eth_15m_fade_sniper,2026-05-27 08:45:30.123458+02:00,ETH,15m,UP,Up,True,23.16210414,49.0196,0.51,0x049bdc532bece5bdb469daa86e7dcf6c6849ebbad036765d616f943544148cae
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-27 09:45:26.891629+02:00,BTC,5m,DOWN,Down,True,22.72280112,49.0196,0.5189799998368,0xb60fb9d46441dfbcc0859b7dda4637c34dc33b991c0bff58cb472cf254010171
shadow_poly_updown_eth_15m_fade_sniper,2026-05-27 11:00:27.463409+02:00,ETH,15m,DOWN,Down,True,21.3473062,47.1698,0.53,0xfb5d0dbfa48e1418e5e0f2b44a89a6d610df2e36710b76680748093de8ccc3cc
shadow_poly_updown_btc_5m_fade_sniper,2026-05-27 11:15:24.229039+02:00,BTC,5m,UP,Down,False,-24.999988,48.0769,0.52,0x0629b276ec2bc9a9c88501a7cfb442572be971a81312ef76265b6f3084e5e4c6
shadow_poly_updown_btc_5m_fade_sniper,2026-05-27 11:50:34.174439+02:00,BTC,5m,DOWN,Down,True,24.125,50.0,0.5,0xec4224a3cb3f5707102c4e2c5243b540a464c8df1e85d0592b79cb00d7271eac
shadow_poly_updown_sol_5m_fade_sniper,2026-05-27 12:45:31.027075+02:00,SOL,5m,UP,Up,True,22.68271423,49.0196,0.5197999983679997,0xb6658890583ff3c36266e72d191d4aff4c8159e02144029b0aa0077be0ac6abc
shadow_poly_updown_eth_15m_fade_sniper,2026-05-27 12:45:33.779770+02:00,ETH,15m,DOWN,Down,True,22.78245131,49.0196,0.5177599980415997,0x894eb1eed3f6443e5a1bdb694e6033ad346e3ae6b3a675398dbf77e99f336e84
