sleeve_id,anchor,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full
TRSTACK_TS_MARK,offset_60s+,g_tr_stack_with&g_trend_slope_with&g_markov_with,3,144,32,6,182,79.16666666666666,62.5,66.66666666666666,75.82417582417582,-2.3904364476610134,2.565812397195133,-4.095664176997505,1.2311709497044665,224.07311284621292,-14.34261868596608,25.0,200.0,1,8,-7.7296014584931525,2.450112926445963,21,2,,0.21534116616911997
TRSTACK_FULL,offset_60s+,g_tr_stack_full_with,1,2842,987,784,5568,78.64180154820549,76.49442755825734,74.10714285714286,77.4066091954023,0.3625126182809704,-0.07543264930352338,-0.24170361796718717,0.1912804965219871,1065.0498046344242,284.2098927322808,527.4718059172741,1300.583952899088,6,6,3.4047442806460437,2.187387565082075,33,4,0.270133256663006,0.20037193062103398
TRSTACK_FULL_TS,offset_60s+,g_tr_stack_full_with&g_trend_slope_with,2,1641,538,426,2609,75.86837294332724,74.53531598513011,69.95305164319248,74.66462246071292,0.4168762918970328,-0.09284703738663184,0.17642831161654113,0.05882853805973918,153.4836557978595,177.58930034813596,597.5637532140248,1190.2260582827478,10,10,2.0966287146867133,0.38992977013190006,29,4,0.32445438243343017,0.43197225634002306
TRSTACK_FULL_MARK,offset_60s+,g_tr_stack_full_with&g_markov_with,2,207,64,14,285,79.71014492753623,62.5,85.71428571428571,76.14035087719299,1.4760899330195585,1.2163515199315384,-5.241696022370583,-0.22111762015303527,-63.018521743615054,20.66525906227382,25.0,371.82716430403076,1,7,7.5652249076767815,-0.6082635530740518,21,2,0.3241696894883617,0.579785117383556
TRSTACK_FULL_MP,offset_60s+,g_tr_stack_full_with&g_mp_no_extreme,2,1661,631,125,2969,68.57314870559904,68.30427892234549,68.0,68.77736611653755,-0.2350334174407584,-0.15820341200742233,0.26914323770295706,0.24788401207881577,735.967631862004,-29.3791771800948,227.51707649406333,1175.8423050494,6,7,0.0,2.059656096362216,29,1,0.5585695924941465,0.22244488594877976
TRSTACK_FULL_TS_MP,offset_60s+,g_tr_stack_full_with&g_trend_slope_with&g_mp_no_extreme,3,1026,384,70,1480,67.05653021442495,68.75,68.57142857142857,67.56756756756756,1.0994728099083424,-0.028178912864129862,0.9313840421212433,0.27412365153347595,405.7030042695444,76.96309669358396,184.7197018771624,1028.6562170967773,6,8,0.0,1.3594962982488346,25,1,0.3071871151572729,0.2890363131067291
TRSTACK_FULL_TS_RIB,offset_60s+,g_tr_stack_full_with&g_trend_slope_with&g_ribbon_agrees,3,1635,538,425,2602,75.84097859327217,74.53531598513011,69.88235294117648,74.63489623366641,0.4059774367717183,-0.08799758941485343,0.17642831161654113,0.06030772318827112,156.92069573588145,172.5404106279803,597.5637532140248,1204.6843806125748,10,10,2.0506293533072384,0.3986768576047063,29,4,0.33352504100140096,0.4307846427195747
TRSTACK_FULL_TS_MARK_MP,offset_60s+,g_tr_stack_full_with&g_trend_slope_with&g_markov_with&g_mp_no_extreme,4,80,22,2,104,73.75,54.54545454545454,50.0,69.23076923076923,-9.437500228174027,3.564525046736416,-4.305844692962113,1.6496001926672947,171.55842003739866,-18.875000456348054,25.0,171.36557173371864,1,6,0.0,2.1137284439558677,20,1,,0.1819609431768336
TRSTACK_FULL_RIB_MP,offset_60s+,g_tr_stack_full_with&g_ribbon_agrees&g_mp_no_extreme,3,1658,631,125,2965,68.57659831121833,68.30427892234549,68.0,68.7689713322091,-0.2350334174407584,-0.15692362852386804,0.26914323770295706,0.2443835699604389,724.5972849327013,-29.3791771800948,227.51707649406333,1189.0907353135276,6,7,0.0,2.037499953693164,29,1,0.5585695924941465,0.22854439176925467
RF_STRONG_TS,offset_60s+,g_rf_strong&g_trend_slope_with,2,3289,1215,886,5395,51.77865612648221,48.806584362139915,48.306997742663654,50.58387395736793,-3.272064419464663,-3.1738938612777545,-4.280092872988055,-3.4252167773977225,-18479.04451406071,-2899.049075645691,3042.4064918828553,18807.479547355946,30,30,-13.127410375827726,-14.523606300038628,29,4,0.999601859983516,1.0
RF_STRONG_MARK,offset_60s+,g_rf_strong&g_markov_with,2,495,171,25,691,51.515151515151516,47.953216374269005,68.0,51.230101302460206,-2.4639159537887205,0.7866922555699308,2.6358793244543426,1.1267006253894212,778.5501321440901,-61.59789884471801,100.0,1118.7678401176213,4,14,-32.483215301286826,1.804830936853795,22,2,0.7701092004681234,0.3087795775885559
RF_STRONG_MP,offset_60s+,g_rf_strong&g_mp_no_extreme,2,3654,1477,242,6650,58.86699507389162,57.21056194989844,56.611570247933884,58.6766917293233,-1.4879606755428576,-0.3681898161861785,-0.7534677572194772,-0.3735230063797522,-2483.9279924253524,-360.08648348137154,686.9029333325482,3525.2019891070577,7,9,0.0,-4.309640377710129,29,1,0.842457031227454,0.9239056806095662
RF_STRONG_TS_MP,offset_60s+,g_rf_strong&g_trend_slope_with&g_mp_no_extreme,3,1774,711,100,2585,60.03382187147689,58.08720112517582,56.99999999999999,59.381044487427474,-2.6304267771655736,0.34856355651117077,-0.15882447982341497,0.09376590575621346,242.3848663798118,-263.04267771655736,511.2791364509629,1967.5031223794022,7,20,0.0,0.4252719675734488,25,1,0.8970573689363284,0.4157250011551818
RF_STRONG_TS_RIB,offset_60s+,g_rf_strong&g_trend_slope_with&g_ribbon_agrees,3,2166,772,572,3515,58.587257617728525,54.79274611398963,54.37062937062937,57.12660028449502,-1.9025519201751266,-2.4938314111512274,-4.0715939373316905,-2.723731078949017,-9573.914742505794,-1088.2596983401725,1365.5459899601653,9759.634477182773,15,17,-8.858022554819163,-14.532309216614877,29,4,0.9560173554501754,0.9999999999534311
