symbol,lev_1h,lev_4h_cap,risk_4h,buy_hold_x,leg_1h_eq_x,leg_1h_mdd,leg_4h_eq_x,leg_4h_mdd,leg_4h_blew_up,combined_eq_x,combined_mdd,combined_sharpe,combined_roi_pct,combined_blew_up,combined_outperform,final_dollar
SOLUSDT,1,1,0.05,3.641,2.163,-0.3566,1.69,-0.2955,False,1.927,-0.2595,0.999,92.68,False,0.529,19270.0
SOLUSDT,1,1,0.07,3.641,2.163,-0.3566,1.796,-0.3235,False,1.98,-0.272,0.986,98.0,False,0.544,19800.0
SOLUSDT,1,2,0.02,3.641,2.163,-0.3566,1.303,-0.1311,False,1.733,-0.2392,0.926,73.32,False,0.476,17330.0
SOLUSDT,1,2,0.03,3.641,2.163,-0.3566,1.451,-0.1914,False,1.807,-0.2458,0.97,80.71,False,0.496,18070.0
SOLUSDT,1,2,0.05,3.641,2.163,-0.3566,1.714,-0.3021,False,1.939,-0.2598,1.005,93.89,False,0.532,19390.0
SOLUSDT,1,2,0.07,3.641,2.163,-0.3566,1.906,-0.4003,False,2.035,-0.2744,0.98,103.47,False,0.559,20350.0
SOLUSDT,1,3,0.02,3.641,2.163,-0.3566,1.303,-0.1311,False,1.733,-0.2392,0.926,73.32,False,0.476,17330.0
SOLUSDT,1,3,0.03,3.641,2.163,-0.3566,1.451,-0.1914,False,1.807,-0.2458,0.97,80.71,False,0.496,18070.0
SOLUSDT,1,3,0.05,3.641,2.163,-0.3566,1.714,-0.3021,False,1.939,-0.2598,1.005,93.89,False,0.532,19390.0
SOLUSDT,1,3,0.07,3.641,2.163,-0.3566,1.906,-0.4003,False,2.035,-0.2744,0.98,103.47,False,0.559,20350.0
SOLUSDT,1,5,0.02,3.641,2.163,-0.3566,1.303,-0.1311,False,1.733,-0.2392,0.926,73.32,False,0.476,17330.0
SOLUSDT,1,5,0.03,3.641,2.163,-0.3566,1.451,-0.1914,False,1.807,-0.2458,0.97,80.71,False,0.496,18070.0
SOLUSDT,1,5,0.05,3.641,2.163,-0.3566,1.714,-0.3021,False,1.939,-0.2598,1.005,93.89,False,0.532,19390.0
