slug,fav_side,fire_us,maker_bid,taker_ask,won,cl_basis_bps,outcome_cl,total_sell_usd,first_fill_us,fill_usd_opt,filled_opt,fill_shares_opt,fill_usd_cons,filled_cons,fill_shares_cons,maker_pnl_opt,maker_pnl_cons,taker_pnl,price_improvement,spread_pnl_opt,basis_q
btc-updown-5m-1778213400,Up,1778213520000000,0.6700000166893005,0.6800000071525574,True,1.6733014154029155,Up,3.96,1778213553384000.0,3.96,True,5.910447613968303,0.0,False,0.0,1.9404476139683036,0.0,11.529411385731718,0.009999990463256836,0.04910441977326215,0
btc-updown-5m-1778213700,Up,1778213820000000,0.27000001072883606,0.2800000011920929,True,4.066975436289096,Up,143.7024,1778213826736000.0,25.0,True,92.59258891329368,25.0,True,92.59258891329368,67.58258891329368,67.58258891329368,62.99999962747097,0.009999990463256836,0.9159250061011974,1
btc-updown-5m-1778214000,Up,1778214120000000,0.5099999904632568,0.5199999809265137,False,2.2105520709023456,Down,787.5421,1778214121781000.0,25.0,True,49.01960875977925,25.0,True,49.01960875977925,-25.01,-25.01,-25.0,0.009999990463256836,0.48019562011037376,0
btc-updown-5m-1778214300,Down,1778214420000000,0.6200000047683716,0.6299999952316284,False,-3.215003504390983,Up,1721.242176,1778214420516000.0,25.0,True,40.322580335043476,25.0,True,40.322580335043476,-25.01,-25.01,-25.000000000000004,0.009999990463256836,0.39322541880434236,1
btc-updown-5m-1778214600,Up,1778214720000000,0.23999999463558197,0.25,False,1.3000172534802443,Down,106.65740000000001,1778214720253000.0,25.0,True,104.16666899497315,25.0,True,104.16666899497315,-25.01,-25.01,-25.0,0.01000000536441803,1.0316672487432887,0
btc-updown-5m-1778215500,Up,1778215620000000,0.9200000166893005,0.9300000071525574,True,1.3700434131070343,Up,1270.1183,1778215620462000.0,25.0,True,27.1739125505287,25.0,True,27.1739125505287,2.163912550528703,2.163912550528703,1.8440858188950695,0.009999990463256836,0.26173886635466226,0
btc-updown-5m-1778215800,Up,1778215920000000,0.6899999976158142,0.699999988079071,True,0.7040112571669498,Up,617.0580000000001,1778215939283000.0,25.0,True,36.23188418316455,25.0,True,36.23188418316455,11.221884183164555,11.221884183164555,10.500000596046457,0.009999990463256836,0.3523184962974717,0
btc-updown-5m-1778216100,Up,1778216220000000,0.4399999976158142,0.44999998807907104,False,0.9130987462208228,Down,617.646157,1778216223327000.0,25.0,True,56.81818212605705,25.0,True,56.81818212605705,-25.01,-25.01,-25.0,0.009999990463256836,0.5581812794001605,0
btc-updown-5m-1778216400,Down,1778216520000000,0.800000011920929,0.8100000023841858,True,-0.33783428166885787,Down,294.10316,1778216524512000.0,25.0,True,31.24999953433872,25.0,True,31.24999953433872,6.23999953433872,6.23999953433872,5.746913491216961,0.009999990463256836,0.30249969732016774,0
btc-updown-5m-1778216700,Up,1778216820000000,0.3199999928474426,0.33000001311302185,False,0.18683469537637257,Down,278.9683,1778216820804000.0,25.0,True,78.12500174622987,25.0,True,78.12500174622987,-25.01,-25.01,-25.000000000000004,0.010000020265579224,0.771251600710711,0
