slot_start_us,signal,reason,rsi_14,ret_2m,f7,entry_phase,mode,thr
,NONE,no_signal,41.64327379939138,-0.00024819961393228955,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,67.56561167630878,-0.00037065648875606413,pass,t_plus_120,paper,0.0009689672101888648
,DOWN,order_placed,41.491881200483164,-0.0010233816327658027,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,27.650463259694234,-0.00009942337867574758,pass,t_plus_120,paper,0.0009742251168399975
,NONE,no_signal,52.583700157892565,-0.0013066592528124558,pass,t_plus_120,paper,0.0009742251168399975
,NONE,no_signal,38.69349151918389,-0.0005921729328881677,pass,t_plus_120,paper,0.0009753451885647047
,NONE,no_signal,32.82580375069075,0.0000760947934208607,pass,t_plus_120,paper,0.0009753451885647047
,NONE,no_signal,46.43358996620553,-0.000680342604185196,pass,t_plus_120,paper,0.0009765039817879869
,NONE,no_signal,39.95850123165755,0.0002965883921807296,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,30.62267738059623,-0.0005660031836677248,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,65.88611250985909,0.0002178905528767068,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,57.198020315415,-0.00028034214964809903,pass,t_plus_120,paper,0.000977527984200293
,NONE,no_signal,53.13869602567088,-0.00006588260930394709,pass,t_plus_120,paper,0.000980340438220868
,NONE,no_signal,25.811345128628744,-0.00032630540790935076,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,42.53039466532091,-0.0003573042740351475,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,26.536562410835202,-0.0003511364807541214,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,36.56612683397447,-0.00010307750008125839,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,62.850040663860725,-0.00044022825977319257,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,70.24139292337586,0.0005846560660193136,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,19.876233008354546,-0.000051865888943321404,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,58.53642771411551,-0.00038940979300806504,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,64.06606556341175,-0.00047756305217634145,pass,t_plus_120,paper,0.0009815203071166414
,NONE,no_signal,66.17907413335598,0.0001561233556723999,pass,t_plus_120,paper,0.0009818572953285564
,UP,order_placed,74.20260673217985,0.0023527773341331317,pass,t_plus_120,paper,0.0009877018921847392
,NONE,no_signal,11.956614962768583,0.0000754659820418331,pass,t_plus_120,paper,0.0009892395577007352
,DOWN,order_placed,37.26539861840297,-0.002311728384104983,pass,t_plus_120,paper,0.0009892395577007352
,NONE,no_signal,69.60626014873361,-0.00009754458608182321,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,80.71346754604,-0.00020168373456523,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,34.830159343636225,0.00024080391995902193,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,55.75461486707922,-0.00040714771896386334,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,51.24732847708138,0.0005531712602154778,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,75.5904848798849,-0.00031209927724180545,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,32.68293915669467,0.0014180820861942032,pass,t_plus_120,paper,0.0009892395577007352
,NONE,no_signal,45.04340839008288,-0.0006921119703111038,pass,t_plus_120,paper,0.0009892395577007352
,NONE,no_signal,68.27545606707051,-0.00011984845299786167,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,64.27258596056797,0.0004892168717581674,pass,t_plus_120,paper,0.0009926142995227293
,NONE,no_signal,53.13045296731442,0.0001720138391621719,pass,t_plus_120,paper,0.0009943262479033227
,NONE,no_signal,80.36880423329703,-0.00011094486051813886,pass,t_plus_120,paper,0.0009943262479033227
,NONE,no_signal,23.84853755615893,0.0005320337473386247,pass,t_plus_120,paper,0.0009943262479033227
,NONE,no_signal,35.93518035749916,0.0005923088536629093,pass,t_plus_120,paper,0.0009943262479033227
