sleeve_id,n_full,n_train,n_held,pnl_train,pnl_held,win_train,win_held,perm_p_train,perm_p_held,ppt_train,ppt_held,verdict,pnl_full
poly_updown_btc_5m_v3_1,209,151,58,-111.1212149199999,-169.41750027999996,0.6225165562913907,0.4482758620689655,0.7155,0.919,-0.7359020855629133,-2.9209913841379302,NULL,-280.53871519999984
poly_updown_sol_5m_v3_2,260,219,41,-221.35575148,-59.339676940000004,0.5251141552511416,0.43902439024390244,0.7715,0.649,-1.0107568560730593,-1.4473091936585367,NULL,-280.69542842
poly_updown_btc_5m_v4,155,110,45,-120.6382084399999,-178.97701727999998,0.6272727272727273,0.4,0.7455,0.9455,-1.096710985818181,-3.9772670506666663,NULL,-299.6152257199999
poly_updown_sol_5m_v3,249,204,45,-372.67514489999996,69.69496035999998,0.5049019607843137,0.5111111111111111,0.8925,0.331,-1.826838945588235,1.5487768968888884,NULL,-302.98018454
poly_updown_btc_5m_v3_2,158,111,47,-128.67394421999995,-182.71619951999995,0.6216216216216216,0.40425531914893614,0.751,0.9505,-1.1592247227027024,-3.887578713191488,NULL,-311.39014373999987
poly_updown_btc_5m_v3_3,158,111,47,-131.03243421999997,-182.71619951999995,0.6216216216216216,0.40425531914893614,0.754,0.9505,-1.18047238036036,-3.887578713191488,NULL,-313.74863373999995
poly_updown_eth_15m_momo_HOLD,62,51,11,-388.96805882,72.89199199999999,0.35294117647058826,0.6363636363636364,0.986,0.273,-7.626824682745098,6.6265447272727265,NULL,-316.07606682000005
poly_updown_btc_5m_v3,239,163,76,-63.38219803999989,-255.29788113999993,0.6196319018404908,0.4342105263157895,0.618,0.973,-0.38884784073619566,-3.3591826465789465,NULL,-318.68007917999984
poly_updown_eth_15m_momo_SELL,64,53,11,-421.23101966,72.89199199999999,0.2641509433962264,0.6363636363636364,0.9975,0.273,-7.947755087924529,6.6265447272727265,NULL,-348.33902766000006
poly_updown_eth_5m_momo_HOLD,341,229,112,-267.20995344000005,-130.45421234000003,0.48034934497816595,0.48214285714285715,0.76,0.6775,-1.1668556918777295,-1.1647697530357146,NULL,-397.6641657800001
poly_updown_eth_15m_momo_HEDGE,66,55,11,-479.85932882000003,72.89199199999999,0.36363636363636365,0.6363636363636364,0.9995,0.273,-8.724715069454547,6.6265447272727265,NULL,-406.96733682
poly_updown_sol_5m_v3_3,215,179,36,-322.3347136200001,-101.39311708000002,0.5139664804469274,0.4166666666666667,0.8855,0.763,-1.8007525900558665,-2.816475474444445,NULL,-423.72783070000014
poly_updown_btc_5m_momo_v2_SELL,541,365,176,-388.22657225999995,-55.676872040000006,0.4191780821917808,0.3465909090909091,0.826,0.587,-1.063634444547945,-0.3163458638636364,NULL,-443.90344429999993
