slug,fire_us,slot_start_us,outcome,vwap_down,shares,won_down,pnl_down,book_lag_s,ts,date
btc-updown-15m-1778139000,1778138220000000,1778139000000000,Up,0.5010367591986621,49.896538609230966,0,-25.0,31.135,2026-05-07 07:17:00+00:00,2026-05-07
btc-updown-15m-1778139900,1778139120000000,1778139900000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,84.205,2026-05-07 07:32:00+00:00,2026-05-07
btc-updown-15m-1778140800,1778140020000000,1778140800000000,Down,0.5,50.0,1,24.5,102.256,2026-05-07 07:47:00+00:00,2026-05-07
btc-updown-15m-1778141700,1778140920000000,1778141700000000,Down,0.5,50.0,1,24.5,89.04,2026-05-07 08:02:00+00:00,2026-05-07
btc-updown-15m-1778142600,1778141820000000,1778142600000000,Down,0.5299999713897705,47.1698138670551,1,21.726417589713993,52.354,2026-05-07 08:17:00+00:00,2026-05-07
btc-updown-15m-1778143500,1778142720000000,1778143500000000,Down,0.497948454286856,50.205999807357784,1,24.70187981121063,68.112,2026-05-07 08:32:00+00:00,2026-05-07
btc-updown-15m-1778145300,1778144520000000,1778145300000000,Down,0.4905173277049323,50.966599114799465,1,25.447267132503477,8.285,2026-05-07 09:02:00+00:00,2026-05-07
btc-updown-15m-1778146200,1778145420000000,1778146200000000,Down,0.5,50.0,1,24.5,67.07,2026-05-07 09:17:00+00:00,2026-05-07
btc-updown-15m-1778147100,1778146320000000,1778147100000000,Up,0.47999998927116394,52.083334497486575,0,-25.0,47.313,2026-05-07 09:32:00+00:00,2026-05-07
btc-updown-15m-1778148000,1778147220000000,1778148000000000,Down,0.47999998927116394,52.083334497486575,1,26.541667807536843,79.748,2026-05-07 09:47:00+00:00,2026-05-07
btc-updown-15m-1778148900,1778148120000000,1778148900000000,Down,0.5,50.0,1,24.5,85.916,2026-05-07 10:02:00+00:00,2026-05-07
btc-updown-15m-1778150700,1778149920000000,1778150700000000,Down,0.47999998927116394,52.083334497486575,1,26.541667807536843,29.444,2026-05-07 10:32:00+00:00,2026-05-07
btc-updown-15m-1778151600,1778150820000000,1778151600000000,Up,0.5,50.0,0,-25.0,96.143,2026-05-07 10:47:00+00:00,2026-05-07
btc-updown-15m-1778152500,1778151720000000,1778152500000000,Down,0.5,50.0,1,24.5,16.869,2026-05-07 11:02:00+00:00,2026-05-07
