asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c
sol,sol-updown-5m-1776938700,5m,1776938700,0,85.59,85.39,0.0023367215796237,85.45,-0.0009357820310903,-0.0001170206542788,-0.0009357820310903,9384385.91,0.0003111005877158,0.0002969312201197,0.0074472237210836,0.001162714054151,2.11249732,0.0018103000000002,2.24178529,1.880239,0.12928797,0.925618,-1.183621,0.1217239370995923,0.57,0.48,0,0.4558823529411764,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776939000,5m,1776939000,0,85.39,85.22,0.0019908654409181,85.38,-0.0008195282317839,-0.001170549121131,0.0010546669987976,9396826.94,0.0013257159412787,0.0015896662301433,0.0072248118230746,-0.0010256266323078,2.11782892,0.0053315999999998,2.24442521,1.879035,0.1265962900000001,0.522421,-0.403197,0.977353258357726,0.51,0.5,1,0.4933333333333333,0.5173913043478258,0.463768115942029
sol,sol-updown-5m-1776939300,5m,1776939300,1,85.22,85.29,0.0008214034264257,85.29,-0.0010546669987977,-0.0028099772616721,-0.0021082228469083,9409093.1,0.0013053512721177,0.0029447173910266,0.0067344949487866,-0.0006890472014177,2.10459622,-0.0132327,2.23312679,1.867769,0.1285305700000001,0.592962,0.0705409999999999,-0.7679814385150812,0.68,0.34,0,0.4558823529411764,0.5173913043478258,0.5087209302325583
sol,sol-updown-5m-1776939600,5m,1776939600,1,85.29,85.34,0.0005862351975612,85.34,0.0005860634288357,-0.001288131801746,-0.0026914766701093,9409877.19,8.333321731091026e-05,0.0027163503552039,0.0069646037370281,0.0008413922746013,2.10811275,0.0035165300000001,2.23673333,1.872221,0.1286205799999997,1.350877,0.7579150000000001,0.3506311360448808,0.58,0.45,1,0.4933333333333333,0.5173913043478258,0.5543478260869565
sol,sol-updown-5m-1776939900,5m,1776939900,1,85.34,85.37,0.0003515350363252,85.4,0.0007028230346703,0.0002342194647081,-0.0012872273733397,9406771.97,-0.0003299958051842,0.0010583391674128,0.005401810616616,0.0004373530134502,2.11092488,0.0028121299999996,2.24224017,1.874872,0.1313152900000003,1.418977,0.0680999999999998,0.4070328660078143,0.55,0.5,2,0.5270588235294118,0.5737704918032787,0.5087209302325583
sol,sol-updown-5m-1776940200,5m,1776940200,1,85.37,85.42,0.0005856858381164,85.38,-0.0002342194647083,0.0010546669987976,-0.0025734018178803,9406936.31,1.7470392662310985e-05,-0.000229224004596,0.0053453947069599,0.0002282123230821,2.13304125,0.0221163700000004,2.25672864,1.877766,0.1236873899999997,1.411209,-0.0077679999999999,0.3613861386138614,0.61,0.41,1,0.4933333333333333,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776940500,5m,1776940500,1,85.42,85.43,0.0001170686022008,85.42,0.0004683840835044,0.0009369876534664,-0.0019881884801978,9412202.4,0.0005598092541991,0.0002471031186752,0.0058340787525308,0.0012888309113301,2.13215725,-0.0008840000000001,2.25556748,1.87718,0.1234102299999997,2.17109,0.759881,-0.6522948539638387,0.51,0.5,2,0.5270588235294118,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776940800,5m,1776940800,0,85.43,85.39,0.00046821959499,85.44,0.0002341097985641,0.0004682744173603,-0.0021045255049153,9413024.0,8.72909405347233e-05,0.0006646307596207,0.0059263766809278,0.000202663029398,2.134186,0.00202875,2.25694351,1.877511,0.12275751,1.645654,-0.525436,-0.6408045977011494,0.5,0.52,2,0.5270588235294118,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776941100,5m,1776941100,0,85.39,85.39,0.0,85.46,0.0002340550039941,0.0009365488860629,-0.0008187613768115,9415724.48,0.0002868876144372,0.0009342223344976,0.0061079076492942,-0.0002785165839731,2.13661795,0.00243195,2.25914245,1.878081,0.1225244999999999,0.646712,-0.998942,0.5485327313769751,0.54,0.49,2,0.5270588235294118,0.5173913043478258,0.5049767750497678
sol,sol-updown-5m-1776941400,5m,1776941400,0,85.39,85.34,0.0005855486590935,85.4,-0.0007023294213545,-0.0002341646187961,-0.0007023294213545,9415369.83,-3.766571555419152e-05,0.0003365237874612,0.0035995575603411,-0.000127446690212,2.13769027,0.0010723199999995,2.26036774,1.879171,0.1226774700000001,1.665534,1.018822,-0.3333333333333333,0.54,0.5,0,0.4558823529411764,0.5173913043478258,0.5087209302325583
