tag,fire_us,pnl,won,vwap,slug
v6c3_v7,1780126500000000,2.3471865671641785,1,0.67,eth-updown-5m-1780126200
cloud_vwap_v7,1780126500000000,2.3471865671641785,1,0.67,eth-updown-5m-1780126200
cloud_ribbon_v6,1780126500000000,2.3471865671641785,1,0.67,eth-updown-5m-1780126200
cloud_ribbon_v6,1780126800000000,0.5205555555555553,1,0.9,eth-updown-5m-1780126500
v6c3_v7,1780126800000000,0.5205555555555553,1,0.9,eth-updown-5m-1780126500
cloud_vwap_v7,1780127700000000,-5.0,0,0.66,eth-updown-5m-1780127400
v8_grandparent,1780127700000000,-5.0,0,0.66,eth-updown-5m-1780127400
cloud_ribbon_v6,1780127700000000,-5.0,0,0.66,eth-updown-5m-1780127400
v6c3_v7,1780127700000000,-5.0,0,0.66,eth-updown-5m-1780127400
v8_grandparent,1780128000000000,6.988621951219514,1,0.41,eth-updown-5m-1780127700
cloud_ribbon_v6,1780128300000000,1.3700897181016465,1,0.7753479125248509,eth-updown-5m-1780128000
cloud_vwap_v7,1780128300000000,1.3700897181016465,1,0.7753479125248509,eth-updown-5m-1780128000
v6c3_v7,1780128300000000,1.3700897181016465,1,0.7753479125248509,eth-updown-5m-1780128000
v8_grandparent,1780128600000000,2.8070079365079366,1,0.63,eth-updown-5m-1780128300
cloud_vwap_v7,1780128900000000,-5.0,0,0.57,eth-updown-5m-1780128600
cloud_ribbon_v6,1780128900000000,-5.0,0,0.57,eth-updown-5m-1780128600
v6c3_v7,1780128900000000,-5.0,0,0.57,eth-updown-5m-1780128600
v8_grandparent,1780130100000000,5.234666666666668,1,0.4799999999999999,eth-updown-5m-1780129800
cloud_ribbon_v6,1780130700000000,1.940753521126761,1,0.71,eth-updown-5m-1780130400
v8_grandparent,1780130700000000,1.940753521126761,1,0.71,eth-updown-5m-1780130400
v6c3_v7,1780130700000000,1.940753521126761,1,0.71,eth-updown-5m-1780130400
cloud_vwap_v7,1780130700000000,1.940753521126761,1,0.71,eth-updown-5m-1780130400
v8_grandparent,1780131000000000,-5.0,0,0.6318990541261034,eth-updown-5m-1780130700
cloud_ribbon_v6,1780131300000000,3.621429824561404,1,0.57,eth-updown-5m-1780131000
cloud_vwap_v7,1780131300000000,3.621429824561404,1,0.57,eth-updown-5m-1780131000
v6c3_v7,1780131300000000,3.621429824561404,1,0.57,eth-updown-5m-1780131000
v8_grandparent,1780131600000000,1.1799999999999997,1,0.8,eth-updown-5m-1780131300
v6c3_v7,1780131600000000,1.1799999999999997,1,0.8,eth-updown-5m-1780131300
cloud_ribbon_v6,1780131600000000,1.1799999999999997,1,0.8,eth-updown-5m-1780131300
v8_grandparent,1780132200000000,-5.0,0,0.82,eth-updown-5m-1780131900
cloud_ribbon_v6,1780132200000000,-5.0,0,0.82,eth-updown-5m-1780131900
v6c3_v7,1780132200000000,-5.0,0,0.82,eth-updown-5m-1780131900
cloud_vwap_v7,1780132500000000,1.8464444444444446,1,0.72,eth-updown-5m-1780132200
