sid,asset,offset,fire_us,pnl,won,vwap,slug
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780325100000000,2.1378768115942033,1,0.69,btc-updown-15m-1780324200
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780325100000000,2.1378768115942033,1,0.69,btc-updown-15m-1780324200
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780325100000000,2.1378768115942033,1,0.69,btc-updown-15m-1780324200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780326000000000,-1.6176470588235294,0,0.68,btc-updown-15m-1780325100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780326000000000,-5.0,0,0.68,btc-updown-15m-1780325100
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780326000000000,-5.0,0,0.68,btc-updown-15m-1780325100
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780326000000000,-5.0,0,0.68,btc-updown-15m-1780325100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780326900000000,5.680565217391305,1,0.45999999999999996,btc-updown-15m-1780326000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780326900000000,5.680565217391305,1,0.45999999999999996,btc-updown-15m-1780326000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780328700000000,-5.0,0,0.04,btc-updown-15m-1780327800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780328700000000,-5.0,0,0.04,btc-updown-15m-1780327800
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780329600000000,0.1441391752577321,1,0.97,btc-updown-15m-1780328700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780329600000000,0.1441391752577321,1,0.97,btc-updown-15m-1780328700
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780329600000000,0.1441391752577321,1,0.97,btc-updown-15m-1780328700
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780329600000000,0.1441391752577321,1,0.97,btc-updown-15m-1780328700
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780329600000000,0.1441391752577321,1,0.97,btc-updown-15m-1780328700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780329600000000,0.1441391752577321,1,0.97,btc-updown-15m-1780328700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780330500000000,0.1441391752577321,1,0.97,btc-updown-15m-1780329600
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780330500000000,0.1441391752577321,1,0.97,btc-updown-15m-1780329600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780330500000000,0.1441391752577321,1,0.97,btc-updown-15m-1780329600
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780330500000000,0.1441391752577321,1,0.97,btc-updown-15m-1780329600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780330500000000,0.1441391752577321,1,0.97,btc-updown-15m-1780329600
poly_sniper_v5_btc_15m_regime_trstack_off480_up,BTC,480,1780334100000000,3.0602213114754098,1,0.61,btc-updown-15m-1780333200
poly_fast_taker_lagv2_btc_15m,BTC,10,1780335000000000,-8.064516129032258,0,0.62,btc-updown-15m-1780334100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780335000000000,-5.0,0,0.79,btc-updown-15m-1780334100
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780335000000000,-5.0,0,0.79,btc-updown-15m-1780334100
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780335000000000,-5.0,0,0.79,btc-updown-15m-1780334100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780335000000000,-5.0,0,0.79,btc-updown-15m-1780334100
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780335000000000,-5.0,0,0.95,btc-updown-15m-1780334100
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780335900000000,4.5823187078621865,1,0.512668835650202,eth-updown-15m-1780335000
poly_fast_taker_lagv2_btc_15m,BTC,40,1780336800000000,-7.03125,0,0.64,btc-updown-15m-1780335900
poly_sniper_v5_sol_15m_rfaged_trstack_late_vL,SOL,600,1780336800000000,-5.0,0,0.17,sol-updown-15m-1780335900
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780336800000000,0.09504081632653069,1,0.98,btc-updown-15m-1780335900
poly_sniper_v5_sol_15m_rfaged_trstack_late,SOL,600,1780336800000000,-5.0,0,0.17,sol-updown-15m-1780335900
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780338600000000,-4.337349397590361,0,0.83,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780338600000000,-5.0,0,0.83,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780338600000000,-5.0,0,0.83,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780338600000000,-5.0,0,0.83,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780338600000000,-5.0,0,0.83,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780338600000000,-5.0,0,0.83,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780338600000000,0.579477528089887,1,0.8900000000000001,btc-updown-15m-1780337700
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780339500000000,-5.0,0,0.74,btc-updown-15m-1780338600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780340400000000,-5.0,0,0.76,btc-updown-15m-1780339500
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,BTC,720,1780341300000000,-5.0,0,0.05999999999999999,btc-updown-15m-1780340400
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780343100000000,4.269462264150942,1,0.53,eth-updown-15m-1780342200
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780343100000000,2.8070079365079366,1,0.63,btc-updown-15m-1780342200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780343100000000,4.269462264150942,1,0.53,eth-updown-15m-1780342200
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780344000000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780343100
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780344000000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780343100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780344000000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780343100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780344000000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780343100
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780344000000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780343100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780344900000000,0.9645963855421689,1,0.83,btc-updown-15m-1780344000
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780344900000000,0.9645963855421689,1,0.83,btc-updown-15m-1780344000
