label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A5_2of3_composite__TP5_SL2_TR3p5_H72__R_3loss_pause,222,0.095,-0.0207,-0.4599,-0.045,0.351,9391.31,1.220223331780914,0.9391309999999999,0.769638619046351,1664,ETHUSDT,A5_2of3_composite,TP5_SL2_TR3p5_H72,R_3loss_pause
A5_2of3_composite__TP8_SL2_TR5_H96__R_none,197,0.214,0.01,-0.5572,0.018,0.35,10301.95,1.220223331780914,1.030195,0.8442675805062931,2383,ETHUSDT,A5_2of3_composite,TP8_SL2_TR5_H96,R_none
A5_2of3_composite__TP8_SL2_TR5_H96__R_3loss_pause,148,0.251,0.0281,-0.6089,0.046,0.318,10866.3,1.220223331780914,1.08663,0.890517310805773,1607,ETHUSDT,A5_2of3_composite,TP8_SL2_TR5_H96,R_3loss_pause
A5_2of3_composite__TP6_SL2p5_TR4_H48__R_none,243,-0.055,-0.06,-0.4343,-0.138,0.362,8307.02,1.220223331780914,0.830702,0.6807786561396034,2383,ETHUSDT,A5_2of3_composite,TP6_SL2p5_TR4_H48,R_none
A5_2of3_composite__TP6_SL2p5_TR4_H48__R_3loss_pause,181,-0.086,-0.0572,-0.4037,-0.142,0.376,8382.12,1.220223331780914,0.8382120000000001,0.6869332671885818,1675,ETHUSDT,A5_2of3_composite,TP6_SL2p5_TR4_H48,R_3loss_pause
A6_3of3_composite__TP5_SL2_TR3p5_H72__R_none,141,0.043,-0.0218,-0.4383,-0.05,0.383,9359.92,1.220223331780914,0.935992,0.767066139141858,845,ETHUSDT,A6_3of3_composite,TP5_SL2_TR3p5_H72,R_none
A6_3of3_composite__TP5_SL2_TR3p5_H72__R_3loss_pause,118,-0.388,-0.1126,-0.5389,-0.209,0.339,6990.52,1.220223331780914,0.699052,0.5728885703076458,689,ETHUSDT,A6_3of3_composite,TP5_SL2_TR3p5_H72,R_3loss_pause
A6_3of3_composite__TP8_SL2_TR5_H96__R_none,105,0.218,0.0227,-0.3274,0.069,0.371,10694.65,1.220223331780914,1.0694649999999999,0.876450213781044,845,ETHUSDT,A6_3of3_composite,TP8_SL2_TR5_H96,R_none
A6_3of3_composite__TP8_SL2_TR5_H96__R_3loss_pause,82,0.417,0.0733,-0.2982,0.246,0.354,12364.04,1.220223331780914,1.236404,1.013260415366317,651,ETHUSDT,A6_3of3_composite,TP8_SL2_TR5_H96,R_3loss_pause
A6_3of3_composite__TP6_SL2p5_TR4_H48__R_none,118,0.344,0.0523,-0.3508,0.149,0.415,11650.14,1.220223331780914,1.165014,0.9547547319060553,845,ETHUSDT,A6_3of3_composite,TP6_SL2p5_TR4_H48,R_none
A6_3of3_composite__TP6_SL2p5_TR4_H48__R_3loss_pause,97,0.291,0.0389,-0.3496,0.111,0.443,11211.92,1.220223331780914,1.121192,0.9188416339848395,708,ETHUSDT,A6_3of3_composite,TP6_SL2p5_TR4_H48,R_3loss_pause
A1_zlsr_only__TP5_SL2_TR3p5_H72__R_none,260,0.024,-0.0491,-0.4673,-0.105,0.342,8600.24,3.744815148782687,0.860024,0.22965726366482062,1146,SOLUSDT,A1_zlsr_only,TP5_SL2_TR3p5_H72,R_none
A1_zlsr_only__TP5_SL2_TR3p5_H72__R_3loss_pause,197,0.276,0.0386,-0.3489,0.111,0.34,11200.95,3.744815148782687,1.120095,0.2991055514086203,873,SOLUSDT,A1_zlsr_only,TP5_SL2_TR3p5_H72,R_3loss_pause
A1_zlsr_only__TP8_SL2_TR5_H96__R_none,187,0.763,0.2369,-0.3566,0.664,0.332,18916.07,3.744815148782687,1.891607,0.5051269354683362,1146,SOLUSDT,A1_zlsr_only,TP8_SL2_TR5_H96,R_none
A1_zlsr_only__TP8_SL2_TR5_H96__R_3loss_pause,135,0.703,0.1876,-0.3172,0.591,0.333,16742.03,3.744815148782687,1.6742029999999999,0.4470722675174572,806,SOLUSDT,A1_zlsr_only,TP8_SL2_TR5_H96,R_3loss_pause
A1_zlsr_only__TP6_SL2p5_TR4_H48__R_none,217,0.743,0.1897,-0.3928,0.483,0.355,16834.68,3.744815148782687,1.683468,0.44954635492415124,1146,SOLUSDT,A1_zlsr_only,TP6_SL2p5_TR4_H48,R_none
A1_zlsr_only__TP6_SL2p5_TR4_H48__R_3loss_pause,165,0.435,0.0819,-0.2825,0.29,0.345,12662.41,3.744815148782687,1.266241,0.33813177678786416,859,SOLUSDT,A1_zlsr_only,TP6_SL2p5_TR4_H48,R_3loss_pause
A2_top_lsr__TP5_SL2_TR3p5_H72__R_none,288,-0.183,-0.125,-0.5389,-0.232,0.33,6701.8,3.744815148782687,0.67018,0.1789621045027691,1897,SOLUSDT,A2_top_lsr,TP5_SL2_TR3p5_H72,R_none
A2_top_lsr__TP5_SL2_TR3p5_H72__R_3loss_pause,213,0.185,0.0085,-0.3672,0.023,0.343,10256.83,3.744815148782687,1.025683,0.2738941601252107,1376,SOLUSDT,A2_top_lsr,TP5_SL2_TR3p5_H72,R_3loss_pause
