msg_id,post_ts,slot_et,type,direction,btc_price,beat_strike,mv_from,mv_to,mv_delta,entry_cents,mult,ptb,ptb_up,ptb_dn,btc_dir_arrow,conf_dots,conf_label,rec_w,rec_l,rec_wr,streak,raw
7395,2026-05-18T12:00:16+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  8:00-8:05 AM ET | ├─────────────────────────┤ | │  BTC       $77,246 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7396,2026-05-18T12:15:16+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  8:15-8:20 AM ET | ├─────────────────────────┤ | │  BTC       $77,391 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7397,2026-05-18T12:30:20+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  8:30-8:35 AM ET | ├─────────────────────────┤ | │  BTC       $77,302 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7398,2026-05-18T12:36:44+00:00,,SIGNAL,UP,,,,,,,2.33,"🟩🟩
├────────",2,0,UP,4,Medium,,,,1,"🟢 BUY UP BTC |  | ┌─────────────────────────┐ | │  May 18  8:35-8:40 AM ET | ├─────────────────────────┤ | │  BTC        $77,523 | │  Beat       $77,501 | │  BTC ▲ PTB  🟩🟩 | ├─────────────────────────┤ | │  Entry      43¢  (2.33x) | │  Confidence ●●●●○  Medium | │  Closes in  3 min | ├─────────────────────────┤ | │  Record     5W 2L  (71%)  🔥 1W streak | └─────────────────────────┘"
7399,2026-05-18T12:40:37+00:00,,WIN,UP,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY UP |  | ┌─────────────────────────┐ | │  May 18  8:35-8:40 AM ET | ├─────────────────────────┤ | │  📈 $77,501 → $77,645  (+144) | │  Entry     43¢ | ├─────────────────────────┤ | │  Record    6W 2L  (75%)  🔥2W | └─────────────────────────┘"
7400,2026-05-18T12:40:51+00:00,,SIGNAL,UP,,,,,,,2.22,"🟩
├─────────",1,0,UP,5,Medium,,,,2,"🟢 BUY UP BTC |  | ┌─────────────────────────┐ | │  May 18  8:40-8:45 AM ET | ├─────────────────────────┤ | │  BTC        $77,626 | │  Beat       $77,613 | │  BTC ▲ PTB  🟩 | ├─────────────────────────┤ | │  Entry      45¢  (2.22x) | │  Confidence ●●●●●  Medium | │  Closes in  4 min | ├─────────────────────────┤ | │  Record     6W 2L  (75%)  🔥 2W streak | └─────────────────────────┘"
7401,2026-05-18T12:45:21+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  8:45-8:50 AM ET | ├─────────────────────────┤ | │  BTC       $77,672 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7402,2026-05-18T12:45:38+00:00,,WIN,UP,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY UP |  | ┌─────────────────────────┐ | │  May 18  8:40-8:45 AM ET | ├─────────────────────────┤ | │  📈 $77,613 → $77,660  (+47) | │  Entry     45¢ | ├─────────────────────────┤ | │  Record    7W 2L  (77%)  🔥3W | └─────────────────────────┘"
7403,2026-05-18T12:55:31+00:00,,SIGNAL,UP,,,,,,,2.44,"🟩
├─────────",1,0,UP,4,Medium,,,,3,"🟢 BUY UP BTC |  | ┌─────────────────────────┐ | │  May 18  8:55-9:00 AM ET | ├─────────────────────────┤ | │  BTC        $77,580 | │  Beat       $77,571 | │  BTC ▲ PTB  🟩 | ├─────────────────────────┤ | │  Entry      41¢  (2.44x) | │  Confidence ●●●●○  Medium | │  Closes in  5 min | ├─────────────────────────┤ | │  Record     7W 2L  (77%)  🔥 3W streak | └─────────────────────────┘"
7404,2026-05-18T13:00:24+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  9:00-9:05 AM ET | ├─────────────────────────┤ | │  BTC       $77,575 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
