label,indicator,offset_h,n_samples,mean,median,std
bull,z_top_lsr_count,-4,1235,0.029038945224715677,0.07635178821680193,1.52825615280233
bull,z_top_lsr_count,-2,1235,-0.006523862152748635,-0.02866652266711722,1.5000382991637817
bull,z_top_lsr_count,-1,1235,-0.02097766090271762,-0.059650965879647314,1.4961587344809515
bull,z_top_lsr_count,0,1235,-0.05527191953981136,-0.1865565653287721,1.4814029420486943
bull,z_top_lsr_sum,-24,1229,-0.08017933487643551,-0.174993669860654,1.4276508424452006
bull,z_top_lsr_sum,-12,1229,-0.07465070644442803,-0.18710641923939958,1.431030550708914
bull,z_top_lsr_sum,-8,1231,-0.010304788101016498,-0.09052408786827577,1.4262207035862087
bull,z_top_lsr_sum,-4,1235,-0.044588810754096535,-0.10983865018376066,1.4350798263687874
bull,z_top_lsr_sum,-2,1235,-0.08167566296595462,-0.1391565841763585,1.4422700161739972
bull,z_top_lsr_sum,-1,1235,-0.07931368645841876,-0.1347712450113485,1.4352025934242496
bull,z_top_lsr_sum,0,1235,-0.09884228586442219,-0.14927893291862157,1.4203658360889104
bull,z_taker_ratio,-24,1229,0.06293155590041756,-0.1859365746400828,1.0590839024387733
bull,z_taker_ratio,-12,1229,0.05935116036609847,-0.13474967284562123,1.0322786933922077
bull,z_taker_ratio,-8,1231,0.09545840611247393,-0.10595617263532592,1.041717013316385
bull,z_taker_ratio,-4,1235,0.06002826237686142,-0.15058982925745695,1.0537068609745859
bull,z_taker_ratio,-2,1235,0.04127963036352372,-0.16801976678102262,1.0126281853528132
bull,z_taker_ratio,-1,1235,0.040202525371785015,-0.17104018045632244,1.0219944152084859
bull,z_taker_ratio,0,1235,0.010663118728357972,-0.20318860291300453,1.0007736881883342
bull,brigalS,-24,1229,0.0032001547950033203,0.046210269143321214,2.8991684135318057
bull,brigalS,-12,1229,-0.051753872302235715,-0.20886605086971427,2.9181251952063527
bull,brigalS,-8,1231,-0.1196927367960755,-0.2046741026278256,2.8894899742550506
bull,brigalS,-4,1235,0.03844076146207017,0.17768075791346966,2.9195371492250115
bull,brigalS,-2,1235,-0.10153689509033784,-0.08292539786825401,2.921288590787281
bull,brigalS,-1,1235,-0.1269079579460629,-0.20663078874127333,2.878846651990638
bull,brigalS,0,1235,-0.18517512739974515,-0.43885901593996157,2.883213674827006
bull,oilsr,-24,1229,0.022221188963433,-0.008626537949288027,2.137524923913574
bull,oilsr,-12,1229,0.13782913520065462,0.20517731501556458,2.1269405070123053
