event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1780062000,1780062090000000,1780062000000000,90,0.33,15.15151515151515,5.0,5.0,,,ws_mirror,,,0.4293354332382515,0.7955652276030122
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1780062000,1780062300000000,1780062000000000,90,0.33,15.15151515151515,5.0,5.0,Up,9.91701515151515,ws_mirror,hold_to_resolve,True,0.4293354332382515,0.7955652276030122
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1780062300,1780062390000000,1780062300000000,90,0.67,7.462686567164178,5.0,5.0,,,ws_mirror,,,0.44114974563300646,0.7750563578603217
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1780062300,1780062600000000,1780062300000000,90,0.67,7.462686567164178,5.0,5.0,Down,2.3471865671641785,ws_mirror,hold_to_resolve,True,0.44114974563300646,0.7750563578603217
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1780064100,1780064190000000,1780064100000000,90,0.66,7.575757575757575,5.0,5.0,,,ws_mirror,,,0.4555139476186425,0.762131721861244
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1780064100,1780064400000000,1780064100000000,90,0.66,7.575757575757575,5.0,5.0,Down,2.456757575757575,ws_mirror,hold_to_resolve,True,0.4555139476186425,0.762131721861244
sleeve_fire_placed,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,UP,eth-updown-15m-1780066800,1780066830000000,1780066800000000,30,0.51,9.803921568627452,5.0,5.0,,,ws_mirror,,,0.594729412811501,0.6164812914096097
sleeve_fire_placed,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,UP,eth-updown-15m-1780067700,1780067730000000,1780067700000000,30,0.61,8.19672131147541,5.0,5.0,,,ws_mirror,,,0.7008117232797059,0.5005022594256158
sleeve_fire_placed,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,UP,eth-updown-15m-1780068600,1780068660000000,1780068600000000,60,0.66,7.575757575757575,5.0,5.0,,,ws_mirror,,,0.75739258301191,0.4465039448648581
sleeve_fire_resolved,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,UP,eth-updown-15m-1780067700,1780068600000000,1780067700000000,30,0.61,8.19672131147541,5.0,5.0,Up,3.0602213114754098,ws_mirror,hold_to_resolve,True,0.7008117232797059,0.5005022594256158
sleeve_fire_placed,poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7_vL,ETH,5m,DOWN,eth-updown-5m-1780069800,1780069860000000,1780069800000000,60,0.77,6.4935064935064934,5.0,5.0,,,ws_mirror,,,0.34922868735239165,0.9020881062490689
sleeve_fire_placed,poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7,ETH,5m,DOWN,eth-updown-5m-1780069800,1780069860000000,1780069800000000,60,0.77,6.4935064935064934,5.0,5.0,,,ws_mirror,,,0.34922868735239165,0.9020881062490689
sleeve_fire_placed,poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8,ETH,5m,DOWN,eth-updown-5m-1780069800,1780069860000000,1780069800000000,60,0.77,6.4935064935064934,5.0,5.0,,,ws_mirror,,,0.34922868735239165,0.9020881062490689
sleeve_fire_placed,poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6,ETH,5m,DOWN,eth-updown-5m-1780069800,1780069860000000,1780069800000000,60,0.77,6.4935064935064934,5.0,5.0,,,ws_mirror,,,0.34922868735239165,0.9020881062490689
sleeve_fire_placed,poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6_vL,ETH,5m,DOWN,eth-updown-5m-1780069800,1780069860000000,1780069800000000,60,0.77,6.4935064935064934,5.0,5.0,,,ws_mirror,,,0.34922868735239165,0.9020881062490689
sleeve_fire_resolved,poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6_vL,ETH,5m,DOWN,eth-updown-5m-1780069800,1780070100000000,1780069800000000,60,0.77,6.4935064935064934,5.0,5.0,Down,1.4130064935064934,ws_mirror,hold_to_resolve,True,0.34922868735239165,0.9020881062490689
