event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780068300,1780068600000000,1780068300000000,30,0.78,6.41025641025641,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.3404233698185544,0.9656277970679195
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780068900,1780068930000000,1780068900000000,30,0.38,13.157894736842104,5.0,5.0,,,ws_mirror,,,0.5143924673776905,0.7427908159652442
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780068900,1780068930000000,1780068900000000,30,0.63,7.936507936507937,5.0,5.0,,,ws_mirror,,,0.5143924673776905,0.7427908159652442
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780068900,1780068930000000,1780068900000000,30,0.63,7.936507936507937,5.0,5.0,,,ws_mirror,,,0.5143924673776905,0.7427908159652442
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780068900,1780068930000000,1780068900000000,30,0.38,13.157894736842104,5.0,5.0,,,ws_mirror,,,0.5143924673776905,0.7427908159652442
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068900,1780068930000000,1780068900000000,30,0.38,13.157894736842104,5.0,5.0,,,ws_mirror,,,0.5143924673776905,0.7427908159652442
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780068600,1780068900000000,1780068600000000,30,0.39,12.82051282051282,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.7508644108594554,0.5358310668440237
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780068600,1780068900000000,1780068600000000,30,0.62,8.064516129032258,5.0,5.0,Up,2.931516129032258,ws_mirror,hold_to_resolve,True,0.7508644108594554,0.5358310668440237
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780069200,1780069230000000,1780069200000000,30,0.55,9.09090909090909,5.0,5.0,,,ws_mirror,,,0.5846281138707036,0.6719059040751204
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780069200,1780069230000000,1780069200000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.5846281138707036,0.6719059040751204
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_a2_hlcascade50k_v9,BTC,5m,UP,btc-updown-5m-1780069200,1780069230000000,1780069200000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.5846281138707036,0.6719059040751204
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,UP,btc-updown-5m-1780069200,1780069230000000,1780069200000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.5846281138707036,0.6719059040751204
sleeve_fire_placed,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780069200,1780069230000000,1780069200000000,30,0.55,9.09090909090909,5.0,5.0,,,ws_mirror,,,0.5846281138707036,0.6719059040751204
sleeve_fire_resolved,poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,BTC,5m,DOWN,btc-updown-5m-1780068900,1780069200000000,1780068900000000,30,0.63,7.936507936507937,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.5143924673776905,0.7427908159652442
