sleeve,family,arm,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
STF_SOL,STF,DEPLOY,SOL,2026-05-23T08:00:00+00:00,2026-05-23T16:00:00+00:00,SHORT,82.162344,85.087394,2,SL,-3.105,-7.76,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-05-23T16:00:00+00:00,2026-05-28T00:00:00+00:00,LONG,1.3354,1.295736,26,SL,-3.121,-7.8,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-05-24T00:00:00+00:00,2026-05-27T12:00:00+00:00,LONG,76734.0133,75069.94047,21,SL,-3.164,-7.91,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-05-24T00:00:00+00:00,2026-05-27T16:00:00+00:00,LONG,2117.43504,2050.76403,22,SL,-3.115,-7.79,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-05-25T04:00:00+00:00,2026-05-28T00:00:00+00:00,LONG,9.390616,9.026823,17,SL,-3.094,-7.73,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-05-25T08:00:00+00:00,2026-05-27T16:00:00+00:00,LONG,1.040012,0.979046,14,SL,-3.06,-7.65,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-05-26T04:00:00+00:00,2026-05-28T00:00:00+00:00,LONG,84.189249,81.614557,11,SL,-3.116,-7.79,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-05-26T12:00:00+00:00,2026-05-30T04:00:00+00:00,SHORT,662.061322,669.156482,22,SL,-1.563,-3.91,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-05-26T12:00:00+00:00,2026-05-28T00:00:00+00:00,LONG,0.102381,0.099273,9,SL,-3.119,-7.8,CLOSED
STF_BTC,STF,DEPLOY,BTC,2026-05-27T16:00:00+00:00,2026-06-02T12:00:00+00:00,SHORT,75277.41,67485.914307,35,TP,14.809,37.02,CLOSED
STF_ETH,STF,DEPLOY,ETH,2026-05-28T00:00:00+00:00,2026-06-04T00:00:00+00:00,SHORT,2023.19286,1717.794158,42,TP,14.866,37.17,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-05-28T04:00:00+00:00,2026-06-05T04:00:00+00:00,SHORT,8.868639,7.248775,48,TP,14.89,37.23,CLOSED
STF_BNB,STF,DEPLOY,BNB,2026-05-28T04:00:00+00:00,2026-05-30T00:00:00+00:00,SHORT,637.078819,652.261213,11,SL,-3.156,-7.89,CLOSED
STF_SOL,STF,DEPLOY,SOL,2026-05-28T04:00:00+00:00,2026-06-04T00:00:00+00:00,SHORT,80.654796,66.720395,41,TP,14.898,37.24,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-05-28T16:00:00+00:00,2026-06-02T12:00:00+00:00,LONG,8.893067,8.527668,29,SL,-3.089,-7.72,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-05-29T08:00:00+00:00,2026-06-02T00:00:00+00:00,LONG,1.316495,1.277349,22,SL,-3.12,-7.8,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-05-29T16:00:00+00:00,2026-06-01T12:00:00+00:00,LONG,0.235721,0.227064,17,SL,-3.095,-7.74,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-05-30T04:00:00+00:00,2026-06-02T12:00:00+00:00,LONG,0.10108,0.097438,20,SL,-3.1,-7.75,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-05-30T16:00:00+00:00,2026-06-01T04:00:00+00:00,LONG,2026.80786,1972.086465,9,SL,-3.134,-7.84,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-05-30T20:00:00+00:00,2026-06-01T04:00:00+00:00,LONG,82.973885,80.593455,8,SL,-3.126,-7.81,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-05-31T04:00:00+00:00,2026-06-01T12:00:00+00:00,LONG,9.010402,8.720065,8,SL,-3.111,-7.78,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-05-31T12:00:00+00:00,2026-05-31T12:00:00+00:00,LONG,0.90075,0.858925,0,SL,-3.076,-7.69,CLOSED
