strategy_id,asset,tf,hypothesis,subtest,liq_side,threshold_usd,hold_min,direction_mode,n_trades,win_rate,dollar_per_trade,total_pnl_usd,sharpe,max_dd,p_value,permutation_p,bootstrap_ci_lo,wf_mean,wf_pos_frac,gate_pass,notes
BTC_1m_liq_long_250k_30m_continuation,BTC,1m,N1,threshold_horizon,LONG,250000.0,30,continuation,6,0.1667,-2.6873,-16.12,-11.271,-16.34,0.21875,,,,0.0,NONE,liq_long_>=$250k_30m_continuation
BTC_1m_liq_long_250k_30m_reversion,BTC,1m,N1,threshold_horizon,LONG,250000.0,30,reversion,6,0.6667,2.0873,12.52,8.754,-0.45,0.6875,,,,0.0,G2,liq_long_>=$250k_30m_reversion
BTC_1m_liq_long_250k_60m_continuation,BTC,1m,N1,threshold_horizon,LONG,250000.0,60,continuation,6,0.0,-3.9314,-23.59,-19.741,-23.05,0.03125,,,,0.0,G1,liq_long_>=$250k_60m_continuation
BTC_1m_liq_long_250k_60m_reversion,BTC,1m,N1,threshold_horizon,LONG,250000.0,60,reversion,6,0.8333,3.3314,19.99,16.728,0.0,0.21875,,,,0.0,G2,liq_long_>=$250k_60m_reversion
BTC_1m_liq_long_500k_5m_continuation,BTC,1m,N1,threshold_horizon,LONG,500000.0,5,continuation,5,0.4,0.6974,3.49,3.03,-3.58,1.0,,,,0.0,G2,liq_long_>=$500k_5m_continuation
BTC_1m_liq_long_500k_5m_reversion,BTC,1m,N1,threshold_horizon,LONG,500000.0,5,reversion,5,0.4,-1.2974,-6.49,-5.636,-10.48,1.0,,,,0.0,NONE,liq_long_>=$500k_5m_reversion
BTC_1m_liq_long_500k_15m_continuation,BTC,1m,N1,threshold_horizon,LONG,500000.0,15,continuation,5,0.4,-0.42,-2.1,-1.548,-6.92,1.0,,,,0.0,NONE,liq_long_>=$500k_15m_continuation
BTC_1m_liq_long_500k_15m_reversion,BTC,1m,N1,threshold_horizon,LONG,500000.0,15,reversion,5,0.6,-0.18,-0.9,-0.663,-8.02,1.0,,,,0.0,NONE,liq_long_>=$500k_15m_reversion
BTC_1m_liq_long_500k_30m_continuation,BTC,1m,N1,threshold_horizon,LONG,500000.0,30,continuation,5,0.2,-2.8633,-14.32,-11.022,-14.53,0.375,,,,0.0,NONE,liq_long_>=$500k_30m_continuation
BTC_1m_liq_long_500k_30m_reversion,BTC,1m,N1,threshold_horizon,LONG,500000.0,30,reversion,5,0.6,2.2633,11.32,8.712,-0.45,1.0,,,,0.0,G2,liq_long_>=$500k_30m_reversion
BTC_1m_liq_long_500k_60m_continuation,BTC,1m,N1,threshold_horizon,LONG,500000.0,60,continuation,5,0.0,-4.2322,-21.16,-19.855,-20.62,0.0625,,,,0.0,NONE,liq_long_>=$500k_60m_continuation
BTC_1m_liq_long_500k_60m_reversion,BTC,1m,N1,threshold_horizon,LONG,500000.0,60,reversion,5,0.8,3.6322,18.16,17.04,0.0,0.375,,,,0.0,G2,liq_long_>=$500k_60m_reversion
