asset,tf,target,window,train_start,train_end,test_start,test_end,n_train,n_test,n_features,base_rate_y,rf_auc,rf_acc,rf_prec,rf_rec,rf_logloss,lgb_auc,lgb_acc,lgb_prec,lgb_rec,lgb_logloss,lgb_n_trades,lgb_sharpe_oos,rf_n_trades,rf_sharpe_oos
SOL,4h,y_next_3,3,2023-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2025-09-30 20:00:00+00:00,2026-03-31 20:00:00+00:00,4386,1090,126,0.45871559633027525,0.5169694915254237,0.4917431192660551,0.4709051724137931,0.874,0.7115369680568324,0.4950440677966102,0.4779816513761468,0.45868263473053894,0.766,0.8756671761426049,900,-0.6737610101168829,669,-0.3532930468773912
BTC,15m,y_next,0,2022-03-30 23:45:00+00:00,2024-03-30 23:45:00+00:00,2024-03-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,70171,17664,126,0.5011322463768116,0.5447190255698233,0.53125,0.5277508247622744,0.6144374152733846,0.6902441794140477,0.5429603746093268,0.5301743659420289,0.5273843715955234,0.6015589697243561,0.691228842419414,6821,0.940235961307931,3842,1.038932780624062
BTC,15m,y_next_3,0,2022-03-30 23:45:00+00:00,2024-03-30 23:45:00+00:00,2024-03-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,70171,17664,126,0.5014719202898551,0.5440864433499871,0.5304008152173914,0.5230228183528257,0.7219462632648453,0.690976954101037,0.5413210178593415,0.529891304347826,0.5253895508707608,0.6470986678708512,0.6956323995491708,9917,1.0179820711774747,6661,0.9367889755205537
BTC,15m,y_next,1,2022-09-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,2025-03-30 23:45:00+00:00,70171,17376,126,0.5025897790055248,0.5308795115122859,0.5223872007366482,0.5301556420233463,0.43684873468452995,0.6923987226799648,0.5264122944723442,0.5219267955801105,0.5240406320541761,0.5316615137982366,0.6986585915551023,9185,0.7081509999314474,4959,0.6966915902979496
BTC,15m,y_next_3,1,2022-09-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,2025-03-30 23:45:00+00:00,70171,17376,126,0.5093807550644567,0.5279430758358236,0.5056399631675875,0.5293588301462318,0.2658456671562535,0.6942017330323879,0.5192346806414836,0.5117403314917127,0.5279682975156226,0.3913682069822619,0.718930316285742,11166,0.43095143273682196,4718,0.554367981631982
BTC,15m,y_next,2,2023-03-30 23:45:00+00:00,2025-03-30 23:45:00+00:00,2025-03-30 23:45:00+00:00,2025-09-30 23:45:00+00:00,70176,17664,126,0.498245018115942,0.5283204498765648,0.5197576992753623,0.5273571920165175,0.34825588001363483,0.6920897163755099,0.5094872377326061,0.5084918478260869,0.5069729286300246,0.4915350528349051,0.7026475808235675,8084,0.2604096583405863,1390,0.37814079142810886
BTC,15m,y_next_3,2,2023-03-30 23:45:00+00:00,2025-03-30 23:45:00+00:00,2025-03-30 23:45:00+00:00,2025-09-30 23:45:00+00:00,70176,17664,126,0.5024343297101449,0.5316621705428841,0.5118885869565217,0.5282429113641438,0.26659154929577467,0.692856579747463,0.5161614181619469,0.5053781702898551,0.5181102362204725,0.22242253521126762,0.734114890726823,12322,0.28626442415292136,3332,0.5963510199473664
BTC,15m,y_next,3,2023-09-30 23:45:00+00:00,2025-09-30 23:45:00+00:00,2025-09-30 23:45:00+00:00,2026-03-31 23:45:00+00:00,70176,17472,126,0.49862637362637363,0.5434391392128005,0.5285027472527473,0.5264390896921017,0.5416666666666666,0.6903261244222996,0.5431309580340558,0.535084706959707,0.5331084879145588,0.5443067033976124,0.6913040641766741,4508,0.8454619712918621,1879,0.7794617205364363
BTC,15m,y_next_3,3,2023-09-30 23:45:00+00:00,2025-09-30 23:45:00+00:00,2025-09-30 23:45:00+00:00,2026-03-31 23:45:00+00:00,70176,17470,126,0.5021751574127075,0.5331076259265531,0.5238694905552376,0.5208199871877002,0.6486948592271743,0.6916810345564895,0.5310124613917488,0.5213508872352605,0.5200663997656478,0.6070899350279266,0.6956413566098032,5553,0.6759231675120202,2734,0.6114460158251761
ETH,15m,y_next,0,2022-03-30 23:45:00+00:00,2024-03-30 23:45:00+00:00,2024-03-30 23:45:00+00:00,2024-09-30 23:45:00+00:00,70171,17664,126,0.4993772644927536,0.5476030536496266,0.5336843297101449,0.5306400839454355,0.573291010089559,0.689821999845487,0.5450435664903421,0.5350996376811594,0.533852140077821,0.5443827230472735,0.6905997471224032,6174,1.0175112107817534,3385,0.9852507553252506
