poly_sniper_v5_eth_5m_up_a2_hlcascade25k_v9,18,50.0,-20.69,-1.1496,4.3767,-1.11,0.554,100,05-31,06-02,2.1
poly_updown_btc_5m_momo_v2_HOLD,537,48.8,-664.22,-1.2369,24.4158,-1.17,,0,05-07,05-21,13.6
poly_updown_eth_15m_momo_HOLD,73,43.8,-248.52,-3.4045,24.7051,-1.18,,0,05-07,05-20,13.6
poly_updown_sol_5m_v3,451,52.1,-522.51,-1.1586,20.8639,-1.18,,0,05-07,06-02,26.1
poly_updown_eth_5m_momo_HEDGE,369,47.2,-585.83,-1.5876,23.9460,-1.27,,0,05-07,05-21,14.0
poly_updown_sol_5m_sniper_INV,581,50.8,-731.47,-1.2590,23.7180,-1.28,,0,05-07,05-22,15.2
poly_updown_eth_5m_momo_SELL,369,45.5,-606.42,-1.6434,24.0503,-1.31,,0,05-07,05-21,14.0
poly_sniper_v5_eth_5m_a2_hlcascade50k_v9,25,48.0,-29.18,-1.1670,4.3501,-1.34,0.511,48,05-31,06-02,1.2
poly_updown_sol_5m_momo_v2_HOLD,304,48.0,-577.92,-1.9011,24.5769,-1.35,,0,05-07,05-21,13.6
poly_updown_sol_15m_momo_HOLD,77,44.2,-299.01,-3.8833,24.6580,-1.38,,0,05-07,05-20,13.5
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,16,62.5,-20.03,-1.2518,3.5507,-1.41,0.636,100,05-29,06-02,3.3
poly_sniper_v5_btc_5m_ts_mpskew_any_off30,309,58.3,-101.38,-0.3281,4.0481,-1.42,0.616,54,05-29,06-02,3.5
poly_updown_eth_5m_momo_HOLD,369,47.2,-682.44,-1.8494,24.7420,-1.44,,0,05-07,05-21,14.0
poly_updown_eth_15m_momo_HEDGE,73,43.8,-285.64,-3.9128,22.2831,-1.50,,0,05-07,05-20,13.6
poly_updown_btc_5m_momo_v2_HOLD_f7,219,45.2,-555.56,-2.5368,24.8317,-1.51,,0,05-21,06-01,11.9
poly_updown_sol_5m_momo_v2_SELL,304,44.7,-629.72,-2.0714,23.4335,-1.54,,0,05-07,05-21,13.6
poly_updown_eth_5m_volume_INV_NIGHT,2487,51.1,-1886.78,-0.7587,24.0623,-1.57,,0,05-07,06-01,25.1
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,15,60.0,-19.64,-1.3091,3.2303,-1.57,0.768,47,05-28,06-01,4.0
poly_updown_eth_5m_momo_HOLD_f7,196,44.9,-549.71,-2.8046,24.7791,-1.58,,0,05-20,06-02,12.3
poly_updown_eth_15m_volume_INV_NIGHT,960,49.8,-1192.34,-1.2420,24.2011,-1.59,,0,05-07,06-01,25.1
poly_updown_btc_5m_volume_INV_NIGHT,2819,50.1,-2103.82,-0.7463,24.2513,-1.63,,0,05-07,06-01,25.1
shadow_poly_updown_sol_15m_fade_momo_v2,60,43.3,-301.42,-5.0237,23.7430,-1.64,,0,05-24,06-02,8.3
poly_updown_sol_15m_momo_SELL,77,42.9,-348.75,-4.5293,24.0492,-1.65,,0,05-07,05-20,13.5
shadow_poly_updown_btc_5m_momo_v2_fairedge500,37,37.8,-241.88,-6.5372,24.0040,-1.66,,0,06-01,06-02,0.7
shadow_poly_updown_sol_5m_fade_momo_v2,203,46.8,-596.48,-2.9383,24.1444,-1.73,,0,05-24,06-02,8.3
poly_updown_sol_5m_momo_v2_HEDGE,304,48.0,-700.34,-2.3038,22.9209,-1.75,,0,05-07,05-21,13.6
poly_updown_sol_5m_v3_3,379,50.7,-710.25,-1.8740,20.7924,-1.75,,0,05-07,06-02,26.1
poly_updown_btc_5m_sniper_hod,129,43.4,-372.81,-2.8900,18.6176,-1.76,,0,05-22,06-02,10.5
poly_updown_eth_15m_momo_SELL,73,38.4,-336.41,-4.6084,21.8865,-1.80,,0,05-07,05-20,13.6
poly_updown_eth_5m_sniper_hod,132,45.5,-387.64,-2.9367,18.6333,-1.81,,0,05-22,06-02,10.5
poly_updown_btc_5m_momo_v2_SELL,537,41.5,-930.19,-1.7322,22.1395,-1.81,,0,05-07,05-21,13.6
poly_updown_eth_5m_sniper,514,48.1,-892.72,-1.7368,20.8306,-1.89,,0,05-07,05-22,15.0
poly_updown_btc_5m_momo_v2_HEDGE,537,48.8,-982.51,-1.8296,22.0939,-1.92,,0,05-07,05-21,13.6
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,236,58.5,-122.67,-0.5198,4.0761,-1.96,0.629,44,05-27,06-02,5.4
