slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
eth-updown-5m-1778342700,1778342400,Up,2315.67,2,1,0,0,0.57488584474883,0.13988942969977433,0.3497235742494358,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778343000,1778342700,Down,2319.99,2,1,-1,1,0.2358490566038664,0.24017348428839935,-0.14988188927900156,0.0004208,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778343300,1778343000,Up,2321.21,2,1,-1,0,0.10655737704902629,-0.14341843502024143,-0.3594868875506036,0.0012544,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778343600,1778343300,Up,2322.36,2,1,0,1,0.5457786116322463,0.22018351762755584,0.5487523940688895,0.0022752,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778343900,1778343600,Down,2322.97,2,1,0,0,0.4542213883677538,-0.015442755870015406,-0.038929689675038515,0.0004304,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778344200,1778343900,Up,2322.07,2,1,0,1,0.5893058161350556,0.4926259642699461,0.4774123236348653,0.00553678272,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778344500,1778344200,Down,2320.6,2,1,0,0,0.5065573770491755,0.14813170477341644,0.3703292619335411,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778344800,1778344500,Up,2321.0,2,1,-1,0,0.24426229508185965,-0.027347550430616888,-0.06836887607654221,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778345100,1778344800,Up,2318.13,2,1,-1,1,0.22173913043466226,0.1898100989542062,0.4745252473855155,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778345400,1778345100,Down,2320.07,2,1,1,0,0.7943396226413022,0.013916876783882313,0.03479219195970578,0.0,0.0,no_data,,False,vwap_guard_0.080<0.30,,,,,,,,,
eth-updown-5m-1778345700,1778345400,Down,2318.65,2,1,-1,1,0.32222222222219976,0.23955910123987287,-0.15170224690031778,0.0008,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778346000,1778345700,Up,2320.84,2,1,-1,0,0.3491803278686667,-0.05366641863855858,-0.13476604659639643,0.0008,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778346300,1778346000,Up,2320.69,2,1,0,1,0.4475409836064474,0.3044779182884459,0.007702999601114805,0.00465572816,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778346600,1778346300,Down,2328.41,2,1,0,1,0.5072387624051465,0.27111940954021924,-0.07319710114945183,0.0013275,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778346900,1778346600,Down,2332.55,2,1,-1,0,0.313893753648565,-0.11352743433626893,-0.2841413858406723,0.0004304,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778347200,1778346900,Down,2329.92,2,1,0,1,0.4367192060712196,0.23762785635719763,-0.1604477528370059,0.00602319164,1.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778347500,1778347200,Up,2328.99,2,1,0,0,0.4801517805020561,0.07988226309691537,0.19934315778228842,0.00048333328000000004,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778347800,1778347500,Down,2329.62,2,1,0,-1,0.45072971395213873,-0.17970080226598273,-0.45231200566495683,0.00408,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778348100,1778347800,Down,2332.53,2,1,-1,0,0.3148277875072915,0.0894031949629559,0.22350798740738972,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778348400,1778348100,Down,2331.32,2,1,0,-1,0.3713368359602993,-0.1546344837786897,-0.3865862094467243,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778348700,1778348400,Down,2331.27,2,1,0,-1,0.3736719206071262,-0.19965446025404116,-0.49913615063510286,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778349000,1778348700,Down,2331.0,2,1,0,0,0.3862813776999449,-0.08229632101005596,-0.2057408025251399,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778349300,1778349000,Up,2328.01,2,1,0,0,0.5259194395796769,0.04748782011236341,0.11871955028090851,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778349600,1778349300,Up,2327.7,2,1,0,1,0.54039696438997,0.20092036208138633,0.5023009052034658,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1778349900,1778349600,Up,2332.72,2,1,-1,0,0.3059544658494001,0.07354468485373343,0.18386171213433358,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778350200,1778349900,Down,2331.4,2,1,0,0,0.3676007005253932,0.10345244792791433,-0.49772768018021407,0.0084784,1.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778350500,1778350200,Up,2330.83,2,1,0,0,0.394220665499131,0.02192323783224144,0.0548080945806036,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778350800,1778350500,Up,2330.7,2,1,0,0,0.400291885580864,-0.006770742358655226,-0.016926855896638063,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778351100,1778350800,Up,2330.42,2,1,0,0,0.4133683596030353,0.027728060257992727,0.06932015064498182,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1778351400,1778351100,Down,2338.07,2,1,1,0,0.89370078740156,0.13313157788682306,-0.4214657218429423,0.00572622208,1.0,no_data,,False,vwap_guard_0.100<0.30,,,,,,,,,
eth-updown-5m-1778351700,1778351400,Down,2334.36,2,1,-1,0,0.2293636894337403,0.008604889890611042,0.0213845652465276,0.00017021263999999998,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1778352000,1778351700,Down,2332.96,2,1,-1,0,0.29474605954466065,-0.02616528340842339,-0.06541320852105847,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
