slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
sol-updown-5m-1778513700,1778513400,Up,96.38,2,1,0,0,0.3952380952380962,0.06913066842398341,0.17282667105995853,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778514000,1778513700,Down,96.12,2,1,-1,0,0.13809523809523033,-0.020910125957555287,-0.05227531489388821,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
sol-updown-5m-1778514300,1778514000,Up,96.06,2,1,-1,0,0.19523809523808944,-0.028545108731647117,-0.0713627718291178,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
sol-updown-5m-1778514600,1778514300,Up,95.97,2,1,-1,1,0.28095238095237807,0.2990872979936305,-0.0025817550159237946,0.0004,1.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778514900,1778514600,Up,96.32,2,1,0,0,0.42380952380952575,0.0653589512971353,0.16339737824283823,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778515200,1778514900,Down,96.6,2,1,-1,0,0.29047619047619244,0.032919352265563855,0.08229838066390964,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
sol-updown-5m-1778515500,1778515200,Up,96.64,2,1,-1,0,0.27142857142857046,-0.09893478958130274,-0.24733697395325682,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
sol-updown-5m-1778515800,1778515500,Up,96.81,2,1,-1,0,0.19047619047618902,0.0,0.0,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
sol-updown-5m-1778516100,1778515800,Down,97.68,2,1,0,0,0.5,-0.048907817417927775,-0.12226954354481943,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778516400,1778516100,Up,97.69,2,1,0,0,0.5,0.07337727775191705,0.18344319437979262,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778516700,1778516400,Down,97.43,2,1,0,1,0.5,0.16517055913855117,0.41292639784637786,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778517000,1778516700,Up,97.58,2,1,0,0,0.5,0.004266383884436678,0.010665959711091693,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778517300,1778517000,Down,97.68,2,1,0,0,0.5,0.0,0.0,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778517600,1778517300,Down,97.67,2,1,0,0,0.5,0.058575060326283346,0.14643765081570836,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778517900,1778517600,Up,97.56,2,1,0,0,0.5,0.0,0.0,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778518200,1778517900,Down,97.41,2,1,0,0,0.5,-0.14901997589893887,-0.3725499397473472,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778518500,1778518200,Down,97.62,2,1,0,1,0.5,0.1984680436941367,0.4961701092353417,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1778518800,1778518500,Down,97.41,2,1,0,0,0.5,-0.11140175516224399,-0.27850438790560994,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778519100,1778518800,Down,97.13,2,1,0,0,0.5,-0.002268066201300699,-0.005670165503251748,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1778519400,1778519100,Up,97.16,2,1,0,-1,0.5,-0.21874461508448081,-0.547461537711202,0.0008,0.0,no_data,,False,momentum_engaged,,,,,,,,,
