bin,low,high,n,pred_mean,actual_mean,sleeve,model
0,0.09857554322737751,0.5017262577312499,105,0.375788819788859,0.49523809523809526,SOL_S15_60_150,logistic_l2
1,0.5017262577312499,0.6343686662800501,104,0.5709117795876535,0.5961538461538461,SOL_S15_60_150,logistic_l2
2,0.6343686662800501,0.7272264826354267,105,0.6906471219413025,0.6190476190476191,SOL_S15_60_150,logistic_l2
3,0.7272264826354267,0.7793076031091986,104,0.7538198598453767,0.75,SOL_S15_60_150,logistic_l2
4,0.7793076031091986,0.8292058005225545,104,0.8047115185935236,0.7307692307692307,SOL_S15_60_150,logistic_l2
5,0.8292058005225545,0.8727963516020827,105,0.8531875603295155,0.7714285714285715,SOL_S15_60_150,logistic_l2
6,0.8727963516020827,0.9082153688919495,104,0.8883106179285752,0.8461538461538461,SOL_S15_60_150,logistic_l2
7,0.9082153688919495,0.9384127819071573,105,0.9242080979104732,0.8666666666666667,SOL_S15_60_150,logistic_l2
8,0.9384127819071573,0.9707680340656234,104,0.9548093217793363,0.9326923076923077,SOL_S15_60_150,logistic_l2
9,0.9707680340656234,1.0,105,0.9856900185448693,0.9714285714285714,SOL_S15_60_150,logistic_l2
0,9.287720226039763e-58,0.0807326892038466,105,0.02856655288218242,0.6476190476190476,SOL_S15_60_150,logistic_poly2
1,0.0807326892038466,0.3014149820167943,104,0.18322993048205435,0.5865384615384616,SOL_S15_60_150,logistic_poly2
2,0.3014149820167943,0.524537043965073,105,0.4214507845015848,0.6571428571428571,SOL_S15_60_150,logistic_poly2
3,0.524537043965073,0.7090055900239962,104,0.6241070636255517,0.7019230769230769,SOL_S15_60_150,logistic_poly2
4,0.7090055900239962,0.8496129844809631,104,0.7874421507723562,0.7403846153846154,SOL_S15_60_150,logistic_poly2
5,0.8496129844809631,0.9236390341956001,105,0.8899877464711474,0.7238095238095238,SOL_S15_60_150,logistic_poly2
6,0.9236390341956001,0.9701926810606527,104,0.9472105477794688,0.8173076923076923,SOL_S15_60_150,logistic_poly2
7,0.9701926810606527,0.9927381523333684,105,0.982822707772868,0.8571428571428571,SOL_S15_60_150,logistic_poly2
8,0.9927381523333684,0.9993856788527001,104,0.9967781157640954,0.9230769230769231,SOL_S15_60_150,logistic_poly2
9,0.9993856788527001,1.0,105,0.9998739752097033,0.9238095238095239,SOL_S15_60_150,logistic_poly2
