rule,side,asset,tf,fire_offset_s,n,WR,per_trade,sum_pnl
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,60,45,0.6,-1.1122156394254281,-50.04970377414426
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,120,71,0.6338028169014085,-0.0721507382062979,-5.1227024126471505
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,120,50,0.7,0.6467481482441094,32.33740741220547
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,240,84,0.7857142857142857,0.5895954057402351,49.52601408217974
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,240,62,0.6290322580645161,-2.296085095477099,-142.35727591958013
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,360,87,0.7816091954022989,-0.5074806058936386,-44.15081271274656
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,360,56,0.8928571428571429,1.649697310517902,92.38304938900251
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,480,93,0.8387096774193549,-0.06126889273718041,-5.6980070245577785
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,480,48,0.8541666666666666,2.4961529718181654,119.81534264727195
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,600,86,0.8255813953488372,0.09493640501304684,8.164530831122029
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,600,61,0.819672131147541,-0.5411258981846196,-33.0086797892618
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,720,68,0.7058823529411765,-6.332277950060025,-430.5949006040817
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,15m,840,65,0.5538461538461539,-10.258269079676362,-666.7874901789635
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,15m,840,31,0.7419354838709677,-0.20278739513760374,-6.286409249265716
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,30,158,0.5949367088607594,-1.3609929368513674,-215.03688402251603
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,30,123,0.5934959349593496,-3.0939793314254747,-380.5594577653334
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,60,212,0.6839622641509434,-1.0826078807510744,-229.51287071922778
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,60,155,0.6903225806451613,-1.2593835669867375,-195.2044528829443
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,90,215,0.7255813953488373,0.27218678980299643,58.520159807644234
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,90,183,0.7377049180327869,-2.2472106533595353,-411.23954956479497
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,120,239,0.7866108786610879,-0.3061340111822228,-73.16602867255125
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,120,198,0.8232323232323232,-0.5830603912044708,-115.44595745848522
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,150,271,0.8265682656826568,0.08296615483064859,22.483827959105767
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,150,197,0.7868020304568528,-2.026188459097321,-399.15912644217224
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,180,269,0.8104089219330854,-1.2481870369776176,-335.76231294697914
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,180,190,0.8421052631578947,-0.8216147421918214,-156.10680101644607
DISAGR_mp=0_imb=0.1_hk=Y,UP,SOL,5m,210,248,0.842741935483871,-0.773794273656062,-191.90097986670338
DISAGR_mp=0_imb=0.1_hk=Y,DN,SOL,5m,210,161,0.937888198757764,3.2923697503672935,530.0715298091343
