rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade,ha_n,ha_WR,ha_per_trade,ha_sum,lm_n,lm_WR,lm_per_trade,lm_sum,edge_vs_HA_per_trade,edge_vs_LM_per_trade,additive_per_trade
XF-A,DN,ETH,5m,240,8,6,0.75,-30.399135294617693,-3.799891911827212,2072,0.8204633204633205,0.6245173745173748,1294.0000000000005,162,0.6481481481481481,-4.16644205533963,-674.96361296502,-4.424409286344587,0.36655014351241766,False
XF-A,BOTH,ETH,5m,240,11,9,0.8181818181818182,-12.865901647258582,-1.169627422478053,2072,0.8204633204633205,0.6245173745173748,1294.0000000000005,162,0.6481481481481481,-4.16644205533963,-674.96361296502,-1.7941447969954276,2.996814632861577,False
XF-A,UP,ETH,5m,270,4,4,1.0,2.8118702067737305,0.7029675516934326,2084,0.822936660268714,0.6294145873320539,1311.7000000000005,140,0.6714285714285714,-2.8612248614877203,-400.5714806082808,0.0735529643613787,3.5641924131811527,False
XF-A,DN,ETH,5m,270,4,3,0.75,11.19336692697847,2.798341731744617,2084,0.822936660268714,0.6294145873320539,1311.7000000000005,140,0.6714285714285714,-2.8612248614877203,-400.5714806082808,2.1689271444125633,5.659566593232338,False
XF-A,BOTH,ETH,5m,270,8,7,0.875,14.005237133752196,1.7506546417190243,2084,0.822936660268714,0.6294145873320539,1311.7000000000005,140,0.6714285714285714,-2.8612248614877203,-400.5714806082808,1.1212400543869703,4.611879503206745,False
XF-A,UP,ETH,5m,300,4,3,0.75,-1.694066128231423,-0.4235165320578558,2136,0.8000936329588015,0.584185393258427,1247.8200000000002,115,0.2608695652173913,4.486409429109181,515.9370843475558,-1.0077019253162827,-4.909925961167037,False
XF-A,DN,ETH,5m,300,3,1,0.3333333333333333,-49.79077019579888,-16.596923398599625,2136,0.8000936329588015,0.584185393258427,1247.8200000000002,115,0.2608695652173913,4.486409429109181,515.9370843475558,-17.18110879185805,-21.083332827708805,False
XF-A,BOTH,ETH,5m,300,7,4,0.5714285714285714,-51.4848363240303,-7.354976617718614,2136,0.8000936329588015,0.584185393258427,1247.8200000000002,115,0.2608695652173913,4.486409429109181,515.9370843475558,-7.939162010977041,-11.841386046827795,False
XF-A,UP,SOL,15m,60,0,0,,0.0,,759,0.5704874835309618,0.1295652173913043,98.34,23,0.6521739130434783,-1.0949585634338397,-25.18404695897831,,,False
XF-A,DN,SOL,15m,60,2,1,0.5,-16.372159905086214,-8.186079952543107,759,0.5704874835309618,0.1295652173913043,98.34,23,0.6521739130434783,-1.0949585634338397,-25.18404695897831,-8.315645169934411,-7.091121389109267,False
