at,sleeve_id,ws_s,slug,direction,outcome,won,fill_vwap,pnl_usd,placed
2026-06-02 00:36:07.069515+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353000,btc-updown-5m-1780353000,UP,Down,false,0.62,-5.0,5.0
2026-06-02 00:36:07.081087+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353000,btc-updown-5m-1780353000,UP,Down,false,0.9199999999999999,-5.0,5.0
2026-06-02 00:36:07.198536+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353000,btc-updown-5m-1780353000,UP,Down,false,0.88,-5.0,5.0
2026-06-02 00:36:07.375574+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353000,btc-updown-5m-1780353000,UP,Down,false,0.65,-5.0,5.0
2026-06-02 00:41:04.059066+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353300,btc-updown-5m-1780353300,UP,Down,false,0.64,-5.0,5.0
2026-06-02 00:46:01.92121+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353600,btc-updown-5m-1780353600,UP,Up,true,0.52,4.447384615384615,5.0
2026-06-02 00:46:01.944008+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353600,btc-updown-5m-1780353600,UP,Up,true,0.77,1.4130064935064934,5.0
2026-06-02 00:46:01.944499+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353600,btc-updown-5m-1780353600,UP,Up,true,0.76,1.4949473684210524,5.0
2026-06-02 00:46:02.140603+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353600,btc-updown-5m-1780353600,UP,Up,true,0.6224435354792816,2.900712380274891,5.0
2026-06-02 00:46:02.241368+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353600,btc-updown-5m-1780353600,UP,Up,true,0.65,2.569807692307692,5.0
2026-06-02 00:46:02.312509+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353600,btc-updown-5m-1780353600,UP,Up,true,0.76,1.4949473684210524,5.0
2026-06-02 00:51:02.664405+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353900,btc-updown-5m-1780353900,UP,Up,true,0.9599999999999999,0.19433333333333405,5.0
2026-06-02 00:51:02.666102+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353900,btc-updown-5m-1780353900,UP,Up,true,0.9400000000000001,0.2981489361702125,5.0
2026-06-02 00:51:02.671373+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353900,btc-updown-5m-1780353900,UP,Up,true,0.9900000000000001,0.047005050505050015,5.0
2026-06-02 00:51:02.886176+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353900,btc-updown-5m-1780353900,UP,Up,true,0.71,1.940753521126761,5.0
2026-06-02 00:51:02.893306+02,poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7,1780353900,btc-updown-5m-1780353900,UP,Up,true,0.69,2.1378768115942033,5.0
