sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_V7_PG_RV_ABOVE_MED,258,56,0.0,0.0,0,314,0,314,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_V7_PG_VOL_EXTREME_CORE,258,37,0.0,0.0,0,295,0,295,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_V7_PG_VOL_EXTREME_TS,258,35,0.0,0.0,0,293,0,293,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_V7_PI_S1_BTC_15M_TREND,258,64,0.0,0.0,0,322,0,322,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_15M_V7_PI_S1_TS_AND_BTC_15M,258,57,0.0,0.0,0,315,0,315,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP,258,163,0.0,0.0,0,421,0,421,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,258,748,0.0,0.0,0,1006,0,1006,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_V7_C3_V6C3_PARENT_RANGING,258,437,0.0,0.0,0,695,0,695,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING,258,105,0.0,0.0,0,363,0,363,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT,258,265,0.0,0.0,0,523,0,523,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_V7_S1_BTC_ADX_VOLLOW,258,40,0.0,0.0,0,298,0,287,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2,258,42,0.0,0.0,0,300,0,289,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_V7_S3_XADX_ETHVOLLOW,258,52,0.0,0.0,0,310,0,298,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_V7_S5_BTC_SLOPE_STR,258,104,0.0,0.0,0,362,0,340,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_15M_V7_S5_BTC_SLOPE_STR_V2,258,104,0.0,0.0,0,362,0,340,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_V7_S1_BTC_TREND_CCI_HURST_REV,258,661,0.0,0.0,0,919,0,806,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_V7_S2_BTC_F7_OVERBOUGHT_EMA800_VWAP,258,1068,0.0,0.0,0,1326,0,705,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,SOL_5M_V7_S3_BTC_F7_AGAINST_CCI_HURST_REV,258,882,0.0,0.0,0,1140,0,960,0.0
