n_thr,flow_thr,sa_thr,asz_thr,off_thr,n,wr_follow,mean_follow,sum_follow,wr_fade,mean_fade,sum_fade
10,0.7,1.01,500,270,94,0.8191489361702128,0.21402865872988727,20.118693920609402,0.18085106382978725,2.5263538827674394,237.47726498013932
10,0.7,1.01,1000,60,248,0.657258064516129,-0.2216527041909718,-54.969870639361005,0.34274193548387094,1.3880219324682779,344.2294392521329
10,0.7,1.01,1000,120,230,0.6695652173913044,-0.2547057572693655,-58.58232417195407,0.33043478260869563,1.4288807922986309,328.6425822286851
10,0.7,1.01,1000,240,82,0.7439024390243902,-0.22550872947300019,-18.491715816786016,0.25609756097560976,4.3682179328817075,358.1938704963
10,0.7,1.01,1000,270,52,0.7307692307692307,-0.24322407122553996,-12.647651703728078,0.2692307692307692,5.009800289200229,260.50961503841194
10,0.7,1.02,100,60,510,0.4470588235294118,-0.3564999065892923,-181.81495236053908,0.5529411764705883,0.5337326671106245,272.2036602264185
10,0.7,1.02,100,120,437,0.45308924485125857,-0.3559850019067434,-155.56544583324688,0.5469107551487414,0.5235123820804533,228.77491096915807
10,0.7,1.02,100,240,155,0.5935483870967742,-0.08748909189587945,-13.560809243861314,0.4064516129032258,0.6588959152003117,102.1288668560483
10,0.7,1.02,100,270,94,0.7340425531914894,0.23109428826338788,21.72286309675846,0.26595744680851063,0.2443167615898378,22.965775589444753
10,0.7,1.02,500,60,98,0.4897959183673469,-0.07022122913039505,-6.8816804547787145,0.5102040816326531,0.558486609382286,54.73168771946403
10,0.7,1.02,500,120,60,0.7333333333333333,0.418649992670246,25.11899956021476,0.26666666666666666,0.05200183813462046,3.120110288077228
10,0.7,1.02,500,240,30,0.7333333333333333,0.8803272717349959,26.409818152049876,0.26666666666666666,0.2515014851257815,7.545044553773446
30,0.1,1.005,100,60,7172,0.5365309537088678,-0.16174049527884715,-1160.0028321398918,0.46346904629113217,0.3989085868089131,2860.972384593525
30,0.1,1.005,100,120,5559,0.5517179348803741,-0.1637000437782572,-910.0085433633318,0.4482820651196258,0.4178913445287671,2323.0579842354164
30,0.1,1.005,100,240,1529,0.5683453237410072,-0.1504050666433202,-229.9693468976366,0.4316546762589928,1.0659500160559316,1629.8375745495196
30,0.1,1.005,100,270,706,0.5934844192634561,-0.10210474991180776,-72.08595343773628,0.4065155807365439,0.9613828788205517,678.7363124473095
30,0.1,1.005,500,60,2681,0.5415889593435286,-0.15506708089407062,-415.7348438770033,0.4584110406564715,0.4122574271565305,1105.2621622066583
30,0.1,1.005,500,120,2092,0.5803059273422562,-0.1310551575974233,-274.1673896938096,0.4196940726577438,0.3558188448822167,744.3730234935973
30,0.1,1.005,500,240,442,0.5927601809954751,-0.11195498340081543,-49.48410266316042,0.4072398190045249,1.2673339215215254,560.1615933125142
30,0.1,1.005,500,270,247,0.6842105263157895,0.07988911454392321,19.732611292349034,0.3157894736842105,1.0520461728800898,259.8554047013822
30,0.1,1.005,1000,60,602,0.5780730897009967,-0.1650819641548494,-99.37934242121935,0.4219269102990033,0.6838235966340145,411.6618051736767
30,0.1,1.005,1000,120,486,0.6111111111111112,-0.20566104118558734,-99.95126601619545,0.3888888888888889,0.7954085495226099,386.56855506798837
30,0.1,1.005,1000,240,162,0.5555555555555556,-0.35829023634680685,-58.04301828818271,0.4444444444444444,2.72379850293995,441.2553574762719
30,0.1,1.005,1000,270,109,0.4954128440366973,-0.43870093245538144,-47.818401637636576,0.5045871559633027,2.9727793519122776,324.03294935843826
30,0.1,1.01,100,60,3448,0.5446635730858469,-0.19402552552450886,-669.0000120085066,0.45533642691415316,0.4689987385257583,1617.1076504368145
30,0.1,1.01,100,120,2787,0.5705059203444564,-0.1851785393243424,-516.0925890969422,0.4294940796555436,0.4616804402814328,1286.7033870643531
30,0.1,1.01,100,240,851,0.5499412455934195,-0.23448761576241048,-199.54896101381132,0.4500587544065805,1.4368703743498277,1222.7766885717033
30,0.1,1.01,100,270,361,0.5761772853185596,-0.18038219059804772,-65.11797080589523,0.42382271468144045,1.4586494576502687,526.572454211747
30,0.1,1.01,500,60,1336,0.6220059880239521,-0.058012216589719896,-77.50432136386578,0.37799401197604793,0.16648064935472376,222.41814753791095
30,0.1,1.01,500,120,1104,0.6630434782608695,-0.04588811771842671,-50.66048196114309,0.33695652173913043,0.06983035638982704,77.09271345436906
30,0.1,1.01,500,240,243,0.6502057613168725,-0.09835678073588079,-23.900697718819032,0.3497942386831276,1.3211477845857829,321.0389116543452
30,0.1,1.01,500,270,141,0.6595744680851063,-0.01853212101689171,-2.613029063381731,0.3404255319148936,1.7822773591522922,251.3011076404732
30,0.1,1.01,1000,60,340,0.5823529411764706,-0.23606261895500258,-80.26129044470088,0.4176470588235294,1.0385428134557355,353.1045565749501
30,0.1,1.01,1000,120,303,0.5874587458745875,-0.2975391846845094,-90.15437295940634,0.41254125412541254,1.1384308715056233,344.94455406620386
30,0.1,1.01,1000,240,125,0.592,-0.3474310502271273,-43.42888127839091,0.408,2.9876570629648627,373.45713287060784
30,0.1,1.01,1000,270,91,0.5274725274725275,-0.41710040168689505,-37.95613655350745,0.4725274725274725,3.057912206708183,278.27001081044466
30,0.1,1.02,100,60,896,0.34933035714285715,-0.4797720756644133,-429.8757797953143,0.6506696428571429,0.6557946296855494,587.5919881982522
30,0.1,1.02,100,120,709,0.38787023977433005,-0.42117239523977046,-298.61122822499726,0.61212976022567,0.5675735467322831,402.4096446331887
30,0.1,1.02,100,240,269,0.5204460966542751,-0.18832002376144763,-50.658086391829414,0.4795539033457249,0.4735218977894396,127.37739050535924
