strategy_id,asset,tf,variant,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,is_n_trades,is_sharpe_ann,is_total_pnl_usd,is_win_rate,oos_n_trades,oos_sharpe_ann,oos_total_pnl_usd,oos_win_rate,oos_calmar,oos_profit_factor,oos_max_dd_usd,buy_hold_pnl_usd,perm_p_value,gate_perm_pass,gate_pf_pass,gate_calmar_pass,gate_n_pass,gate_oos_sharpe_pass,gate_beats_bh,gates_passed_n,strategy_family
C1_XRP_4h_lb20_off1.0_trail2.0,XRP,4h,lb20_off1.0_trail2.0,193,0.4559585492227979,71.93904701429881,0.3727411762398901,0.3429648558346913,0.2446494896922613,-294.0494464337089,1.0469862432088703,4.569948186528498,134,1.0122182159607716,147.17921301469192,0.4850746268656716,59,-1.1843760296365222,-75.24016600039315,0.3898305084745763,-0.3501385494145264,0.8550149135424101,-214.8868387277085,1301.85,,False,False,False,True,False,False,1,C1_atr_breakout
C1_XRP_4h_lb20_off1.0_trail3.0,XRP,4h,lb20_off1.0_trail3.0,215,0.4790697674418605,1637.4105823605607,7.61586317377005,1.838644005902261,3.5027834343540376,-467.4598395953994,1.5684407983615865,13.2,148,2.89733360450845,1876.568299166425,0.5202702702702703,67,-1.0290030160379695,-239.15771680586408,0.3880597014925373,-0.5732983388395055,0.8048221957547262,-417.1610147867812,1301.85,,False,False,False,True,False,True,2,C1_atr_breakout
C1_XRP_4h_lb50_off0.25_trail2.0,XRP,4h,lb50_off0.25_trail2.0,347,0.4755043227665706,877.5457113514783,2.528950176805413,2.219866629332937,4.194565402626361,-209.21016294131852,1.361125426353364,4.60806916426513,235,2.7442366362702475,740.8232186251752,0.5063829787234042,112,1.093113667212805,136.72249272630307,0.4107142857142857,0.6732178732253047,1.1557017131127514,-203.0880316223369,1301.85,,False,False,False,True,True,False,2,C1_atr_breakout
C1_XRP_4h_lb50_off0.25_trail3.0,XRP,4h,lb50_off0.25_trail3.0,291,0.4776632302405498,2852.6197529712417,9.802817020519733,1.9576553538191004,4.886372351158373,-583.7909082583512,1.6788398035541336,13.285223367697595,199,2.0651895180461914,2114.820786218024,0.4924623115577889,93,1.651397969819884,710.9845394052962,0.4408602150537634,2.0136053215735075,1.5318669362811528,-353.0903160554353,1301.85,,False,True,True,True,True,True,5,C1_atr_breakout
C1_XRP_4h_lb50_off0.5_trail2.0,XRP,4h,lb50_off0.5_trail2.0,263,0.4600760456273764,557.4091669229325,2.1194264902012643,1.9191498150870212,2.4548555689878406,-227.0639356403185,1.289632295154442,4.315589353612167,184,2.8201606008128,566.6653046794542,0.483695652173913,79,-0.1049204527669753,-9.256137756521516,0.4050632911392405,-0.0407644557486387,0.986458904942608,-227.0639356403184,1301.85,,False,False,False,True,False,False,1,C1_atr_breakout
C1_XRP_4h_lb50_off0.5_trail3.0,XRP,4h,lb50_off0.5_trail3.0,240,0.4916666666666666,2817.0026879643947,11.737511199851644,2.3299596028041303,8.614773404526773,-326.9967247756226,1.8543309911711796,13.095833333333331,168,2.6858833992705136,2350.8575256287795,0.5119047619047619,72,1.4206464189713806,466.1451623356149,0.4444444444444444,1.5370772253670966,1.4198648001901149,-303.2672364423892,1301.85,,False,False,True,True,True,True,4,C1_atr_breakout
C1_XRP_4h_lb50_off1.0_trail2.0,XRP,4h,lb50_off1.0_trail2.0,123,0.4146341463414634,-61.59504256208599,-0.5007727037567967,-0.4486321438206738,-0.2651424992405375,-232.30920255529048,0.9444547567890876,3.894308943089431,88,0.9281319142586828,87.52633223317179,0.4772727272727273,35,-3.589816578399784,-149.1213747952578,0.2571428571428571,-0.6419090296681912,0.6233582550004672,-232.30920255529048,1301.85,,False,False,False,False,False,False,0,C1_atr_breakout
C1_XRP_4h_lb50_off1.0_trail3.0,XRP,4h,lb50_off1.0_trail3.0,141,0.4822695035460992,1548.8172787100489,10.984519707163468,2.287243960278598,5.02109097759771,-308.4623014441106,1.7409727334908875,13.02836879432624,100,3.5368098052268806,1749.6152464610766,0.54,41,-1.165829077098565,-200.79796775102747,0.3414634146341463,-0.6509643700736293,0.7833871291083394,-308.4623014441107,1301.85,,False,False,False,False,False,True,1,C1_atr_breakout
C2_XRP_4h_bb20_sq0.1_trail2.0,XRP,4h,bb20_sq0.1_trail2.0,298,0.4429530201342282,999.0186797921432,3.3524116771548425,2.2118765623975905,3.935731620594296,-253.83302930632533,1.4952352168754857,6.922818791946309,200,2.516127116543059,811.6027973853688,0.45,98,1.4618219128515322,187.41588240677427,0.4285714285714285,1.2921866441985594,1.256878862709985,-145.03778014437955,1301.85,,False,False,True,True,True,False,3,C2_bb_squeeze
C2_XRP_4h_bb20_sq0.2_trail2.0,XRP,4h,bb20_sq0.2_trail2.0,388,0.4355670103092783,1132.5078890375485,2.918834765560692,2.0082054157175504,3.088011834053853,-366.7433772592849,1.4275033925924447,6.804123711340206,266,2.44671435662576,1021.0668056191304,0.4436090225563909,122,0.7696080950462117,111.44108341841812,0.4180327868852459,0.7273686383902064,1.126691601671026,-153.2112845352484,1301.85,,False,False,False,True,True,False,2,C2_bb_squeeze
