variant,version,fire_offset_s,slug,asset,tf,ws,day,signal,outcome,ret_2m,exit_reason,vwap_e,shares_e,usd_e,fee_in,pnl,fired,slot_start_s,window_s,ws_s,ws_us,fire_us,won,rsi_14,f7_pass,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
SELL_5bp,v1,-180,btc-updown-5m-1777646700,BTC,5m,1777646700,2026-05-01,DOWN,Up,-0.0008026676210545,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777646700,300,1777646400,1777646400000000,1777646520000000,False,43.16465639570277,True,0,True,0,True,2,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777647300,BTC,5m,1777647300,2026-05-01,UP,Up,0.0007270896158835,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777647300,300,1777647000,1777647000000000,1777647120000000,True,57.91462446263832,True,2,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777647600,BTC,5m,1777647600,2026-05-01,UP,Down,0.000766571204022,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,-25.8924999833107,True,1777647600,300,1777647300,1777647300000000,1777647420000000,False,59.910943654735206,True,2,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777649400,BTC,5m,1777649400,2026-05-01,UP,Up,0.0012733526886636,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,25.12790718695763,True,1777649400,300,1777649100,1777649100000000,1777649220000000,True,66.22547332185871,True,2,True,2,True,2,True,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777651500,BTC,5m,1777651500,2026-05-01,UP,Down,0.0024867745429851,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777651500,300,1777651200,1777651200000000,1777651320000000,False,35.88904716434786,False,1,False,1,False,0,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777658700,BTC,5m,1777658700,2026-05-01,DOWN,Down,-0.0010409864645733,sell_5bp,0.5333396427979461,46.87444546377207,25.0,0.8166556251035945,21.057789838668477,True,1777658700,300,1777658400,1777658400000000,1777658520000000,True,76.39592895629666,False,1,False,1,False,2,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777840800,BTC,5m,1777840800,2026-05-03,UP,Down,0.002719144302844,sell_5bp,0.449999988079071,55.55555702727522,25.0,0.962500020861626,-25.962500020861626,True,1777840800,300,1777840500,1777840500000000,1777840620000000,False,72.82184239165227,True,2,True,2,True,2,True,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777846800,BTC,5m,1777846800,2026-05-03,DOWN,Down,-0.0015309592885809,sell_5bp,0.5299999713897705,47.1698138670551,25.0,0.8225000500679017,21.347313816987196,True,1777846800,300,1777846500,1777846500000000,1777846620000000,True,68.26942766458515,False,2,False,2,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777848000,BTC,5m,1777848000,2026-05-03,DOWN,Up,-0.0009894596388249,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777848000,300,1777847700,1777847700000000,1777847820000000,False,48.081229641692936,True,1,False,1,False,2,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777851300,BTC,5m,1777851300,2026-05-03,UP,Up,0.0008997004909442,sell_5bp,0.5120246922077841,48.82577028112305,25.0,0.8539567886363779,22.97181349248667,True,1777851300,300,1777851000,1777851000000000,1777851120000000,True,11.143095719435308,False,0,False,0,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777861200,BTC,5m,1777861200,2026-05-04,DOWN,Down,-0.0017957459269741,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777861200,300,1777860900,1777860900000000,1777861020000000,True,56.41477588343408,False,2,False,2,False,2,False,2,False
SELL_5bp,v1,-180,btc-updown-5m-1777862700,BTC,5m,1777862700,2026-05-04,UP,Down,0.00311151092623,sell_5bp,0.4699999988079071,53.19148949661531,25.0,0.9275000020861626,-25.927500002086163,True,1777862700,300,1777862400,1777862400000000,1777862520000000,False,74.71222242582738,True,2,True,2,True,2,True,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777863300,BTC,5m,1777863300,2026-05-04,UP,Down,0.0015699248089522,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,-25.8924999833107,True,1777863300,300,1777863000,1777863000000000,1777863120000000,False,70.96419654270315,True,2,True,2,True,2,True,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777863600,BTC,5m,1777863600,2026-05-04,UP,Down,0.0012972887019953,sell_5bp,0.4799999892711639,52.083334497486575,25.0,0.9100000187754632,-25.910000018775463,True,1777863600,300,1777863300,1777863300000000,1777863420000000,False,56.6321544410293,True,2,True,2,True,2,True,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777863900,BTC,5m,1777863900,2026-05-04,DOWN,Up,-0.0014985034935157,sell_5bp,0.5101860513705126,49.001731687572615,25.0,0.857174410101603,-25.857174410101603,True,1777863900,300,1777863600,1777863600000000,1777863720000000,False,53.650181711030754,False,0,True,1,False,2,False,2,False
SELL_5bp,v1,-180,btc-updown-5m-1777864200,BTC,5m,1777864200,2026-05-04,UP,Up,0.0017603557637178,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777864200,300,1777863900,1777863900000000,1777864020000000,True,49.36115947715631,False,2,True,1,False,2,True,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777864500,BTC,5m,1777864500,2026-05-04,UP,Down,0.0025605571606437,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,-25.8924999833107,True,1777864500,300,1777864200,1777864200000000,1777864320000000,False,39.07434635300104,False,2,True,1,False,2,True,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777866300,BTC,5m,1777866300,2026-05-04,DOWN,Up,-0.0009522903300367,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777866300,300,1777866000,1777866000000000,1777866120000000,False,31.35121457489946,True,0,True,0,True,2,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777867200,BTC,5m,1777867200,2026-05-04,UP,Up,0.0012200543229423,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,25.12790718695763,True,1777867200,300,1777866900,1777866900000000,1777867020000000,True,67.65401390810948,True,2,True,2,True,2,True,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777867800,BTC,5m,1777867800,2026-05-04,DOWN,Up,-0.0011153381394415,sell_5bp,0.5299999713897705,47.1698138670551,25.0,0.8225000500679017,-25.8225000500679,True,1777867800,300,1777867500,1777867500000000,1777867620000000,False,72.97556561085823,False,2,False,2,False,2,False,2,False
SELL_5bp,v1,-180,btc-updown-5m-1777870500,BTC,5m,1777870500,2026-05-04,UP,Up,0.0007373168735611,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777870500,300,1777870200,1777870200000000,1777870320000000,True,34.804072817031354,False,1,False,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777872000,BTC,5m,1777872000,2026-05-04,DOWN,Up,-0.0009919436916005,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777872000,300,1777871700,1777871700000000,1777871820000000,False,20.72067783701374,True,0,True,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777876200,BTC,5m,1777876200,2026-05-04,DOWN,Up,-0.002775214627572,sell_5bp,0.4799999892711639,52.083334497486575,25.0,0.9100000187754632,-25.910000018775463,True,1777876200,300,1777875900,1777875900000000,1777876020000000,False,12.29016974679152,True,0,True,0,True,0,True,0,True
SELL_5bp,v1,-180,btc-updown-5m-1777882800,BTC,5m,1777882800,2026-05-04,DOWN,Down,-0.0008419967805511,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777882800,300,1777882500,1777882500000000,1777882620000000,True,61.844242713808185,False,1,False,1,False,1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777884900,BTC,5m,1777884900,2026-05-04,DOWN,Up,-0.0008732546837775,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777884900,300,1777884600,1777884600000000,1777884720000000,False,40.597410914413686,True,0,True,1,False,0,True,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777886100,BTC,5m,1777886100,2026-05-04,UP,Down,0.0009000313179376,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777886100,300,1777885800,1777885800000000,1777885920000000,False,41.01444078625659,False,2,True,1,False,0,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777887000,BTC,5m,1777887000,2026-05-04,UP,Up,0.0013118816788052,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777887000,300,1777886700,1777886700000000,1777886820000000,True,25.933441558442368,False,2,True,1,False,1,False,1,False
